"month","count","pm01.fitted","lm.fitted"
2014-01-01,7986,7876.88533343969,-38998.4598116285
2014-02-01,27300,11011.5163238077,-15940.9993261874
2014-03-01,18807,14902.5230131062,4885.09401550915
2014-04-01,20000,20833.0283453649,27942.5545009592
2014-05-01,42535,28810.5599125208,50256.2259384913
2014-06-01,25422,40275.8117384229,73313.6864239411
2014-07-01,39989,55698.5123755861,95627.3578614732
2014-08-01,40465,77863.9084197182,118684.818346923
2014-09-01,72666,108850.092683117,141742.278832373
2014-10-01,187091,150531.745300875,164055.950269905
2014-11-01,276028,210436.321015734,187113.410755355
2014-12-01,259820,291018.095587777,209427.082192887
