date,hours_down,hours_up,pct_down,less3HR,less1HR,DayOfWeek
2014-04-23,4.29,19.71,17.86,0,0,Wednesday
2014-04-25,0.25,23.75,1.04,1,1,Friday
2014-04-27,0.50,23.50,2.08,1,1,Sunday
2014-04-29,4.03,19.97,16.81,0,0,Tuesday
2014-04-30,5.25,18.75,21.88,0,0,Wednesday
2014-05-01,0.73,23.27,3.06,1,1,Thursday
2014-05-02,0.50,23.50,2.08,1,1,Friday
2014-05-03,3.79,20.21,15.79,0,0,Saturday
2014-05-05,1.25,22.75,5.21,1,0,Monday
2014-05-06,1.00,23.00,4.17,1,0,Tuesday
2014-05-07,5.25,18.75,21.88,0,0,Wednesday
2014-05-08,2.75,21.25,11.46,1,0,Thursday
2014-05-09,4.75,19.25,19.79,0,0,Friday
2014-05-10,2.25,21.75,9.38,1,0,Saturday
2014-05-11,4.25,19.75,17.71,0,0,Sunday
2014-05-13,0.25,23.75,1.06,1,1,Tuesday
2014-05-14,0.25,23.75,1.05,1,1,Wednesday
2014-05-15,1.75,22.25,7.29,1,0,Thursday
2014-05-16,30.45,-6.45,126.88,0,0,Friday
2014-05-17,10.61,13.39,44.21,0,0,Saturday
2014-05-18,22.75,1.25,94.79,0,0,Sunday
2014-05-19,8.25,15.75,34.38,0,0,Monday
2014-05-20,4.00,20.00,16.67,0,0,Tuesday
2014-05-21,1.41,22.59,5.86,1,0,Wednesday
2014-05-22,5.94,18.06,24.74,0,0,Thursday
2014-05-23,0.44,23.56,1.82,1,1,Friday
2014-05-24,0.25,23.75,1.04,1,1,Saturday
2014-05-25,0.44,23.56,1.82,1,1,Sunday
2014-05-26,0.88,23.12,3.66,1,1,Monday
2014-05-27,1.62,22.38,6.77,1,0,Tuesday
2014-05-28,1.13,22.87,4.69,1,0,Wednesday
2014-05-29,0.88,23.12,3.65,1,1,Thursday
2014-05-30,1.07,22.93,4.44,1,0,Friday
2014-05-31,0.69,23.31,2.86,1,1,Saturday
2014-06-01,1.32,22.68,5.48,1,0,Sunday
2014-06-02,0.75,23.25,3.13,1,1,Monday
2014-06-03,3.31,20.69,13.8,0,0,Tuesday
2014-06-04,3.37,20.63,14.06,0,0,Wednesday
2014-06-05,1.56,22.44,6.51,1,0,Thursday
2014-06-06,0.56,23.44,2.35,1,1,Friday
2014-06-07,9.83,14.17,40.94,0,0,Saturday
2014-06-08,0.75,23.25,3.14,1,1,Sunday
2014-06-09,4.32,19.68,18.02,0,0,Monday
2014-06-10,6.52,17.48,27.15,0,0,Tuesday
2014-06-11,6.81,17.19,28.39,0,0,Wednesday
2014-06-12,3.75,20.25,15.63,0,0,Thursday
2014-06-13,2.57,21.43,10.7,1,0,Friday
2014-06-14,1.87,22.13,7.81,1,0,Saturday
2014-06-15,0.44,23.56,1.82,1,1,Sunday
2014-06-16,2.56,21.44,10.68,1,0,Monday
2014-06-17,4.56,19.44,19.01,0,0,Tuesday
2014-06-18,4.05,19.95,16.88,0,0,Wednesday
2014-06-19,3.31,20.69,13.8,0,0,Thursday
2014-06-20,6.62,17.38,27.6,0,0,Friday
2014-06-21,2.38,21.62,9.9,1,0,Saturday
2014-06-22,1.26,22.74,5.26,1,0,Sunday
2014-06-23,3.44,20.56,14.32,0,0,Monday
2014-06-24,5.19,18.81,21.61,0,0,Tuesday
2014-06-25,4.06,19.94,16.93,0,0,Wednesday
2014-06-26,2.88,21.12,11.98,1,0,Thursday
2014-06-27,2.69,21.31,11.2,1,0,Friday
2014-06-28,0.94,23.06,3.9,1,1,Saturday
2014-06-29,1.19,22.81,4.95,1,0,Sunday
2014-06-30,3.42,20.58,14.25,0,0,Monday
2014-07-01,5.45,18.55,22.69,0,0,Tuesday
2014-07-02,4.94,19.06,20.57,0,0,Wednesday
2014-07-03,4.69,19.31,19.53,0,0,Thursday
2014-07-04,4.56,19.44,19.01,0,0,Friday
2014-07-05,1.50,22.50,6.25,1,0,Saturday
2014-07-06,1.81,22.19,7.55,1,0,Sunday
2014-07-07,4.31,19.69,17.97,0,0,Monday
2014-07-08,6.44,17.56,26.82,0,0,Tuesday
2014-07-09,3.88,20.12,16.15,0,0,Wednesday
2014-07-10,3.37,20.63,14.06,0,0,Thursday
2014-07-11,2.57,21.43,10.7,1,0,Friday
2014-07-12,1.27,22.73,5.31,1,0,Saturday
2014-07-13,1.31,22.69,5.47,1,0,Sunday
2014-07-14,6.44,17.56,26.82,0,0,Monday
2014-07-15,3.67,20.33,15.28,0,0,Tuesday
2014-07-16,4.25,19.75,17.71,0,0,Wednesday
2014-07-17,5.92,18.08,24.65,0,0,Thursday
2014-07-18,3.08,20.92,12.85,0,0,Friday
2014-07-19,1.83,22.17,7.64,1,0,Saturday
2014-07-20,3.81,20.19,15.89,0,0,Sunday
2014-07-21,8.08,15.92,33.68,0,0,Monday
2014-07-22,7.25,16.75,30.21,0,0,Tuesday
2014-07-23,10.17,13.83,42.36,0,0,Wednesday
2014-07-24,6.58,17.42,27.43,0,0,Thursday
2014-07-25,7.92,16.08,32.99,0,0,Friday
2014-07-26,6.58,17.42,27.43,0,0,Saturday
2014-07-27,4.75,19.25,19.79,0,0,Sunday
2014-07-28,12.67,11.33,52.78,0,0,Monday
2014-07-29,24.00,0.00,100,0,0,Tuesday
2014-07-30,19.75,4.25,82.29,0,0,Wednesday
2014-07-31,8.58,15.42,35.76,0,0,Thursday
2014-08-01,5.83,18.17,24.31,0,0,Friday
2014-08-02,5.75,18.25,23.96,0,0,Saturday
2014-08-03,5.50,18.50,22.92,0,0,Sunday
2014-08-04,8.75,15.25,36.46,0,0,Monday
2014-08-05,9.92,14.08,41.32,0,0,Tuesday
2014-08-06,8.42,15.58,35.07,0,0,Wednesday
2014-08-07,8.58,15.42,35.76,0,0,Thursday
2014-08-08,7.75,16.25,32.29,0,0,Friday
2014-08-09,6.25,17.75,26.04,0,0,Saturday
2014-08-10,4.42,19.58,18.4,0,0,Sunday
2014-08-11,5.25,18.75,21.88,0,0,Monday
2014-08-12,7.00,17.00,29.17,0,0,Tuesday
2014-08-13,6.17,17.83,25.69,0,0,Wednesday
2014-08-14,6.67,17.33,27.78,0,0,Thursday
2014-08-15,6.33,17.67,26.39,0,0,Friday
2014-08-16,4.08,19.92,17.01,0,0,Saturday
2014-08-17,5.83,18.17,24.31,0,0,Sunday
2014-08-18,5.25,18.75,21.88,0,0,Monday
2014-08-19,8.00,16.00,33.33,0,0,Tuesday
2014-08-20,14.33,9.67,59.72,0,0,Wednesday
2014-08-21,7.50,16.50,31.25,0,0,Thursday
2014-08-22,6.42,17.58,26.74,0,0,Friday
2014-08-23,6.58,17.42,27.43,0,0,Saturday
2014-08-24,4.83,19.17,20.14,0,0,Sunday
2014-08-25,5.17,18.83,21.53,0,0,Monday
2014-08-26,11.17,12.83,46.53,0,0,Tuesday
2014-08-27,9.92,14.08,41.32,0,0,Wednesday
2014-08-28,6.75,17.25,28.13,0,0,Thursday
2014-08-29,4.08,19.92,17.01,0,0,Friday
2014-08-30,5.58,18.42,23.26,0,0,Saturday
2014-08-31,5.00,19.00,20.83,0,0,Sunday
2014-09-01,6.67,17.33,27.78,0,0,Monday
2014-09-02,7.92,16.08,32.99,0,0,Tuesday
2014-09-03,7.50,16.50,31.25,0,0,Wednesday
2014-09-04,9.08,14.92,37.85,0,0,Thursday
2014-09-05,6.92,17.08,28.82,0,0,Friday
2014-09-06,5.67,18.33,23.61,0,0,Saturday
2014-09-07,5.83,18.17,24.31,0,0,Sunday
2014-09-08,6.50,17.50,27.08,0,0,Monday
2014-09-09,8.33,15.67,34.72,0,0,Tuesday
2014-09-10,8.67,15.33,36.11,0,0,Wednesday
2014-09-11,9.42,14.58,39.24,0,0,Thursday
2014-09-12,8.92,15.08,37.15,0,0,Friday
2014-09-13,4.42,19.58,18.4,0,0,Saturday
2014-09-14,6.67,17.33,27.78,0,0,Sunday
2014-09-15,11.50,12.50,47.92,0,0,Monday
2014-09-16,9.75,14.25,40.63,0,0,Tuesday
2014-09-17,9.75,14.25,40.63,0,0,Wednesday
2014-09-18,10.25,13.75,42.71,0,0,Thursday
2014-09-19,4.50,19.50,18.75,0,0,Friday
2014-09-20,0.25,23.75,1.04,1,1,Saturday
2014-09-21,0.33,23.67,1.39,1,1,Sunday
2014-09-23,1.00,23.00,4.17,1,0,Tuesday
2014-09-24,0.75,23.25,3.13,1,1,Wednesday
2014-09-25,0.33,23.67,1.39,1,1,Thursday
2014-09-26,0.75,23.25,3.13,1,1,Friday
2014-09-27,0.33,23.67,1.39,1,1,Saturday
2014-09-28,1.33,22.67,5.56,1,0,Sunday
2014-09-29,0.17,23.83,0.69,1,1,Monday
2014-09-30,0.42,23.58,1.74,1,1,Tuesday
2014-10-01,0.67,23.33,2.78,1,1,Wednesday
2014-10-02,0.33,23.67,1.39,1,1,Thursday
2014-10-03,0.42,23.58,1.74,1,1,Friday
2014-10-04,0.42,23.58,1.74,1,1,Saturday
2014-10-05,11.92,12.08,49.65,0,0,Sunday
2014-10-06,1.42,22.58,5.9,1,0,Monday
2014-10-07,2.00,22.00,8.33,1,0,Tuesday
2014-10-08,2.00,22.00,8.33,1,0,Wednesday
2014-10-09,0.75,23.25,3.13,1,1,Thursday
2014-10-10,0.17,23.83,0.69,1,1,Friday
2014-10-11,0.25,23.75,1.04,1,1,Saturday
2014-10-12,0.24,23.76,1.02,1,1,Sunday
2014-10-13,0.42,23.58,1.74,1,1,Monday
2014-10-14,0.50,23.50,2.08,1,1,Tuesday
2014-10-15,0.33,23.67,1.39,1,1,Wednesday
2014-10-16,0.25,23.75,1.04,1,1,Thursday
2014-10-17,11.42,12.58,47.57,0,0,Friday
2014-10-18,0.58,23.42,2.43,1,1,Saturday
2014-10-19,0.08,23.92,0.35,1,1,Sunday
2014-10-20,0.08,23.92,0.35,1,1,Monday
2014-10-21,1.77,22.23,7.37,1,0,Tuesday
2014-10-22,1.00,23.00,4.17,1,0,Wednesday
2014-10-23,0.33,23.67,1.39,1,1,Thursday
2014-10-24,0.92,23.08,3.82,1,1,Friday
2014-10-26,1.92,22.08,7.99,1,0,Sunday
2014-10-27,0.39,23.61,1.64,1,1,Monday
2014-10-28,0.08,23.92,0.34,1,1,Tuesday
2014-10-29,1.50,22.50,6.27,1,0,Wednesday
2014-10-30,0.08,23.92,0.35,1,1,Thursday
2014-10-31,0.17,23.83,0.69,1,1,Friday
2014-11-01,0.17,23.83,0.69,1,1,Saturday
2014-11-02,0.48,23.52,2,1,1,Sunday
