"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"JgdUTga","2014-01-01","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 0 days ago anon [0 deals] ","
       USA
      ","USA
    ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"JgdUTga","2014-01-09","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, good cookies! Will order again. 4 days ago anon [0 deals] 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 0 days ago anon [0 deals] ","
       USA
      ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eMtrFjdGfu","2014-01-16","medibuds","Bhang Bar Peppermint Ice Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 This guy is 100% 5 days ago anon [0 deals] ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JgdUTga","2014-01-16","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, good cookies! Will order again. 5 days ago anon [0 deals] 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 0 days ago anon [0 deals] ","
       USA
      ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"jWlTKKrF","2014-01-16","medibuds","Bhang Bar Dark Fire Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 A++++, shipped same day ordered, arrived 3 days later. Vendor rocks! 5 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rxhLzLxVb","2014-01-16","Lion","1 Deca Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Smooth quick, quick shipping , A+ 1 days ago anon ~5/5, 6~10 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tpbjmgh","2014-01-16","Lion","FireBerry Incredibles Bars, 300mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Apparently I have Amazon Prime on here as well, because that shit arrived faaast! 5/5 all around, these guys are pros. 2 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"aPqlDBEU","2014-01-26","medibuds","Bhang Bar Cookies and Cream Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 On time as always 2 days ago anon [0 deals] ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"bfddimMmqW","2014-01-26","joeybagadonuts","1 CHOCOLATE THC pop-100mg+THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 WOW! These chocolate pops are strong! A nice home made edible. Tastes great to! 0 days ago anon ~5/5, 6~10 deals 5/5 Order arrived. Well-sealed and good stealth. legit vendor! Letting the pop chill in the fridge for a bit then gonna try tonite 1 days ago anon ~5/5, 1~2 deals 5/5 Saving for the weekend. 4 days ago anon ~4/5, 3~5 deals ","
       USA
      ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eMtrFjdGfu","2014-01-26","medibuds","Bhang Bar Peppermint Ice Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 I have been dealing with this vendor for a few months now and has yet to disappoint me. One of the best vendors around period! 4 days ago anon [0 deals] 5/5 SUPER Fast Shipping. Great Product. Happy. Will Order again. 4 days ago anon [0 deals] 5/5 This guy is 100% 1 days ago anon [0 deals] ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eulVnxYLpc","2014-01-26","medibuds","Bhang Bar Pretzel Peanut Butter Double Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Order came right on time and product is great. 3 days ago anon [0 deals] ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FwTbSqvDF","2014-01-26","Lion","1 Peach Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 3 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JgdUTga","2014-01-26","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, good cookies! Will order again. 1 days ago anon [0 deals] 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 3 days ago anon [0 deals] ","
       USA
      ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"jWlTKKrF","2014-01-26","medibuds","Bhang Bar Dark Fire Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 simply the best! 1 days ago anon [0 deals] 5/5 On time as always 2 days ago anon [0 deals] 5/5 Love these items. Transaction was perfect. 4 days ago anon [0 deals] 5/5 A++++, shipped same day ordered, arrived 3 days later. Vendor rocks! 1 days ago anon ~5/5, 1~2 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"KqUxYjUxfl","2014-01-26","Lion","Grape Quad Dose Hybrid Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, great communication, awesome product! Love this guy! 1 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LuqgYYhZ","2014-01-26","SweetMeats","free candy","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Stealth was up to par. Shipping took around a week. The Chocolate bar itself is amazing, tastes really good and has great medic 0 days ago anon [0 deals] 5/5 GREAT VENDOR! The C&C Bar tastes & smells amazing. High quality. Fast & careful shipping. Highly recommended. 2 days ago anon ~5/5, 1~2 deals 5/5 stealth 5/5 and was a pleasant surprise having it arrive at 4:20 EST haha ;) 2 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
