"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"AVoDBteR","2014-02-02","OZMarket","Dexamphetamine 5mg x1","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Exceeded all expectations. Real deal. thnx OZMarket 0 days ago anon ~5/5, 1~2 deals "," Australia ","Australia
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"ghaYtWwD","2014-02-05","thatjammypac","2x Dexedrine Spansule Sample(free,you pay shipping)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 FE for free sample! Will update on arrival! Thanks!! 1 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"aKzvLgJ","2014-02-23","TestSubject","Subutex - Buprenorphine 8mg x 2","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Perfect! 0 days ago anon ~5/5, 3~5 deals 5/5 Shipped fast, great stealth, product arrived as described, thank you! Would order again for sure. 1 days ago anon ~5/5, 1~2 deals 5/5 Perfect transaction. Quality product, quick delivery, & stealthy. Will be back. Thanks 3 days ago anon ~5/5, 1~2 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AKtjBrzdba","2014-02-23","swissweed","Ritalin LA 20 mg","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Really fast shipping and good quality! Trusted vendor! Will come back for more... 1 days ago anon ~5/5, 1~2 deals 5/5 Perfect! 1 days ago anon ~5/5, 1~2 deals "," Switzerland ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"AVoDBteR","2014-02-23","OZMarket","Dexamphetamine 5mg x1","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Exceeded all expectations. Real deal. thnx OZMarket 5 days ago anon ~5/5, 6~10 deals "," Australia ","Australia
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"BfClxUBsN","2014-02-23","PureDrugs","5 x 20mg methadone","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Methadone arrived in 4 days. I got two white pills that have """"""""methadone 20mg"""""""" marked on them, and 12 smaller white pills with n 2 days ago anon [0 deals] 5/5 Arrived quickly and in good order. Will try in a day or two. 3 days ago anon [0 deals] 5/5 Got 3x20 + 8x5mg pills, not 5x20 - but in the end it's all the same. Took 4 days plus weekend to receive, all in all, a decent 3 days ago anon [0 deals] 5/5 Arrived in good time. Great vendor - excellent comms. 1 days ago anon [0 deals] "," ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"BKgjecmlp","2014-02-23","stonednsmilin2","1x 30mg Codeine Phosphate Pill","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Excellent delivery time and product as expected, good work! 4 days ago anon ~5/5, 1~2 deals "," UK ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Cmdfkvky","2014-02-23","AstroHaven","FE LISTING x15 Speed Tablets for the price of 10~ 60mg Adderall Equivalent ~ $7/e","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 FE for this man...he's king!! 0 days ago anon [0 deals] 5/5 Ordered from this guy before on other sites...Fastest shipper I have seen online. No reason not to trust him and get a few fre 1 days ago anon [0 deals] 5/5 FE by choice for awesome vendor. Will update! 1 days ago anon [0 deals] 5/5 FE will update upon arival 2 days ago anon ~5/5, 1~2 deals "," USA ","USA
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eJgwXLXlq","2014-02-23","silkyjohnson","**30 MG Barr Adderall FREE SAMPLE** 5 (1) pill samples","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Sample arrived quick..havent tried yet 2 days ago anon ~5/5, 3~5 deals 5/5 Ordered late in day, vendor still sent same day. Legit product, great comm's, fast delivery. All perfect! Will use again. 3 days ago anon ~5/5, 1~2 deals 5/5 nice pill! 4 days ago anon ~5/5, 1~2 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gDFsRpMv","2014-02-23","gj990","Adderall 20mg IR (amphetamine/dextroamphetamine)","[1.00e-07,1.49e+00)","Drugs","Stimulants","Prescription"," Feedbacks: 5/5 Was a slight delay but vendor communicated issue and rectified quickly. I received product as described. Top notch stealth. all 6 days ago anon [0 deals] "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
