"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"dcnAXAvc","2014-02-28","simonlabond","Smurfberry Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 this guy knows his shit. very fast shipping and response time as well as extras. 10/5 0 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"dcnAXAvc","2014-03-01","simonlabond","Smurfberry Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 excellent seller 0 days ago anon [0 deals] 5/5 awesome vendor, very fast, excellent shipping and extremely generous. can not recommend enough. 0 days ago anon [0 deals] 5/5 this guy knows his shit. very fast shipping and response time as well as extras. 10/5 1 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rrJyrmpw","2014-03-01","Cannaseed","5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 Cannaseed is one of the most upstanding vendors I've ever run across. I would happily do business again. 3 days ago anon [0 deals] "," EU ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"zEZTFxZYT","2014-03-01","simonlabond","Williams 60 Day Wonder Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 0 days ago anon [0 deals] "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"dcnAXAvc","2014-03-03","simonlabond","Smurfberry Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 excellent seller 2 days ago anon [0 deals] 5/5 awesome vendor, very fast, excellent shipping and extremely generous. can not recommend enough. 2 days ago anon [0 deals] 5/5 this guy knows his shit. very fast shipping and response time as well as extras. 10/5 3 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rrJyrmpw","2014-03-03","Cannaseed","5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 Cannaseed is one of the most upstanding vendors I've ever run across. I would happily do business again. 5 days ago anon [0 deals] "," EU ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"zEZTFxZYT","2014-03-03","simonlabond","Williams 60 Day Wonder Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 2 days ago anon [0 deals] "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"dcnAXAvc","2014-03-06","simonlabond","Smurfberry Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 excellent seller 4 days ago anon [0 deals] 5/5 awesome vendor, very fast, excellent shipping and extremely generous. can not recommend enough. 4 days ago anon [0 deals] 5/5 this guy knows his shit. very fast shipping and response time as well as extras. 10/5 5 days ago anon ~5/5, 3~5 deals "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"rrJyrmpw","2014-03-06","Cannaseed","5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 Cannaseed is one of the most upstanding vendors I've ever run across. I would happily do business again. 0 days ago anon [0 deals] "," EU ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"zEZTFxZYT","2014-03-06","simonlabond","Williams 60 Day Wonder Hybrid Feminized Autoflower Seeds","[1.00e-07,1.49e+00)","Drugs","Cannabis","Seeds"," Feedbacks: 5/5 4 days ago anon [0 deals] "," USA ","USA ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
