"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"psiCgYGvo","2014-10-14","GucciBuds","✫ ✬ ✭ ✮ ✯ 1OZ 28g SHAKE/TRIMMINGS ✫ ✬ ✭ ✮ ✯","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 2/5 barley smokeable at all.. picture is defiantly outdated. its better for cooking. 117 days ago anon ~5/5, 15~25 deals 5/5 Prompt responses, professional packaging. great experience 122 days ago anon ~5/5, 6~10 deals 5/5 Came Very fast, best stealth I've ever seen, amazing deal, will return, 5/5 123 days ago anon 4.89/5, 25~40 deals 5/5 Fast shipping. Order on point weight wise. definitely more trim then shake/buds tho 127 days ago anon ~5/5, 25~40 deals 5/5 Gucci is a god, plain and simple 129 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"FuCewZBGr","2014-10-17","DrEarnhardt","100gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Perfekt 0 days ago anon ~5/5, 3~5 deals 5/5 Good smoke, good weight great deal! very happy :) 229 days ago anon 5.00/5, 40~55 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"iTbRXFdX","2014-10-17","DrEarnhardt","50gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Nice product for a good price and overweight Thanks DrEarnhardt 200 days ago anon 5.00/5, 25~40 deals 5/5 One more perfect transaction with Great Vendor! Thank you so much Doktor! 10/5 for all 204 days ago anon ~5/5, 10~15 deals 5/5 Arrived to Germany in 3 business days. Good smoke, great bang for the buck. Was 54.1 grams including packaging. 205 days ago anon ~5/5, 6~10 deals 5/5 Great Stealth and great product +++ 206 days ago anon ~5/5, 1~2 deals 5/5 Perfect seller! 206 days ago anon ~5/5, 6~10 deals 5/5 This time the package never arrived. But the seller sent me the refund immediately after my request. I would order again. 218 days ago anon ~5/5, 6~10 deals 5/5 EXCELLENT! 223 days ago anon ~5/5, 15~25 deals 5/5 quick delivery. this shake is top notch smoke smells like Amsterdam...And for the price there is nothing that comes close...Tha 232 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"kMpXUvwaun","2014-10-17","DrEarnhardt","10gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Very quick, thanks. 4 days ago anon 3~5 deals 5/5 Finally received, all fine 18 days ago anon ~5/5, 15~25 deals 5/5 Is good for that price, decent stealth, good delivery time, thanks! 28 days ago anon 5.00/5, 25~40 deals 5/5 I love this vendor. Thanks. 37 days ago anon ~5/5, 10~15 deals 5/5 first order of 10g cut didn't arrive, got 5g buds instead (within the week), good communication, excellent weed, top vendor. 92 days ago anon ~5/5, 15~25 deals 5/5 Arrived. 104 days ago anon ~5/5, 6~10 deals 5/5 112 days ago anon ~5/5, 6~10 deals 5/5 122 days ago anon 1~2 deals 5/5 Ace, wonderful stuff! 134 days ago anon 4.94/5, 40~55 deals 5/5 nice 139 days ago anon 3~5 deals 5/5 good product for a low price. recommend this seller 141 days ago anon 5.00/5, 25~40 deals 5/5 Order didn't arrive,so reshipped 1/3, which arrived really fast(5 days). 142 days ago anon 3~5 deals 5/5 overweight!!!!! super quality 147 days ago anon ~5/5, 15~25 deals 5/5 Speedy delivery. Overweight! Great quality shake. Trust him, he is a doctor. 148 days ago anon ~5/5, 10~15 deals 5/5 Great Stealth, arrived to UK in 5 days, great price! 152 days ago anon ~5/5, 6~10 deals 5/5 No received my second order, but 25% refund immediately ! You can trust this good vendor ! Thx Dr 155 days ago anon 5.00/5, 15~25 deals 5/5 The doctor does it again! Shipping took a bit longer this time, but no vendor's fault - all good as always!!! 156 days ago anon ~5/5, 6~10 deals 5/5 Very good shake 164 days ago anon ~5/5, 15~25 deals 5/5 Perfect as always. Thank you very much Doktor! 170 days ago anon ~5/5, 10~15 deals 5/5 Very satisfied, arrived quickly and no problems. 185 days ago anon ~5/5, 6~10 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"psiCgYGvo","2014-10-17","GucciBuds","✫ ✬ ✭ ✮ ✯ 1OZ 28g SHAKE/TRIMMINGS ✫ ✬ ✭ ✮ ✯","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 2/5 barley smokeable at all.. picture is defiantly outdated. its better for cooking. 121 days ago anon ~5/5, 15~25 deals 5/5 Prompt responses, professional packaging. great experience 126 days ago anon ~5/5, 10~15 deals 5/5 Came Very fast, best stealth I've ever seen, amazing deal, will return, 5/5 127 days ago anon 4.89/5, 25~40 deals 5/5 Fast shipping. Order on point weight wise. definitely more trim then shake/buds tho 131 days ago anon ~5/5, 25~40 deals 5/5 Gucci is a god, plain and simple 133 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"zxJECEcJc","2014-10-17","DrEarnhardt","25gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 VERY FAST DELIVERY TO GERMANY(3days)! QUALITY IS GOOD! 15 days ago anon 5.00/5, 40~55 deals 5/5 incredible stuff would definately not consider it shake its far above that. second order from Dr.E and perfect again 31 days ago anon ~5/5, 6~10 deals 5/5 Still perfect seller! 32 days ago anon ~5/5, 6~10 deals 5/5 smells dank for shake 48 days ago anon 5.00/5, 40~55 deals 5/5 Communication was bad, but the Stuff arrived! Trim is exact 25g, strong grinded, but smell is good. Thank you :) 201 days ago anon ~5/5, 15~25 deals 5/5 5/5 Excellent as always! 209 days ago anon ~5/5, 15~25 deals 5/5 Excellent product, great quality smoke and vendor 210 days ago anon ~5/5, 10~15 deals 5/5 Very happy with my 2nd order, nice mild high :) 212 days ago anon ~5/5, 10~15 deals 5/5 all good and 10% overweight! 213 days ago anon ~5/5, 40~55 deals 5/5 All good, 10 days to U.K 227 days ago anon ~5/5, 25~40 deals 5/5 Nice stuff - good stealth nice smoke 230 days ago anon ~5/5, 1~2 deals 5/5 This is much better than you think, not normal leafy stuff that tastes like grass from the garden...THIS IS REALLY NICE ..PROPE 242 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FuCewZBGr","2014-10-19","DrEarnhardt","100gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Perfekt 2 days ago anon ~5/5, 3~5 deals 5/5 Good smoke, good weight great deal! very happy :) 231 days ago anon 5.00/5, 40~55 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"iTbRXFdX","2014-10-19","DrEarnhardt","50gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Nice product for a good price and overweight Thanks DrEarnhardt 202 days ago anon 5.00/5, 25~40 deals 5/5 One more perfect transaction with Great Vendor! Thank you so much Doktor! 10/5 for all 206 days ago anon ~5/5, 10~15 deals 5/5 Arrived to Germany in 3 business days. Good smoke, great bang for the buck. Was 54.1 grams including packaging. 207 days ago anon ~5/5, 6~10 deals 5/5 Great Stealth and great product +++ 208 days ago anon ~5/5, 1~2 deals 5/5 Perfect seller! 208 days ago anon ~5/5, 6~10 deals 5/5 This time the package never arrived. But the seller sent me the refund immediately after my request. I would order again. 221 days ago anon ~5/5, 6~10 deals 5/5 EXCELLENT! 225 days ago anon ~5/5, 15~25 deals 5/5 quick delivery. this shake is top notch smoke smells like Amsterdam...And for the price there is nothing that comes close...Tha 234 days ago anon 5.00/5, 25~40 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"kMpXUvwaun","2014-10-19","DrEarnhardt","10gr Pure Power Plant ( Shake / Trim / Crunch )","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 5/5 Very quick, thanks. 6 days ago anon 3~5 deals 5/5 Finally received, all fine 20 days ago anon ~5/5, 15~25 deals 5/5 Is good for that price, decent stealth, good delivery time, thanks! 31 days ago anon 5.00/5, 25~40 deals 5/5 I love this vendor. Thanks. 39 days ago anon ~5/5, 10~15 deals 5/5 first order of 10g cut didn't arrive, got 5g buds instead (within the week), good communication, excellent weed, top vendor. 94 days ago anon ~5/5, 15~25 deals 5/5 Arrived. 106 days ago anon ~5/5, 6~10 deals 5/5 114 days ago anon ~5/5, 6~10 deals 5/5 124 days ago anon 1~2 deals 5/5 Ace, wonderful stuff! 136 days ago anon 4.94/5, 40~55 deals 5/5 nice 142 days ago anon 3~5 deals 5/5 good product for a low price. recommend this seller 144 days ago anon 5.00/5, 25~40 deals 5/5 Order didn't arrive,so reshipped 1/3, which arrived really fast(5 days). 144 days ago anon 3~5 deals 5/5 overweight!!!!! super quality 149 days ago anon ~5/5, 15~25 deals 5/5 Speedy delivery. Overweight! Great quality shake. Trust him, he is a doctor. 150 days ago anon ~5/5, 10~15 deals 5/5 Great Stealth, arrived to UK in 5 days, great price! 154 days ago anon ~5/5, 6~10 deals 5/5 No received my second order, but 25% refund immediately ! You can trust this good vendor ! Thx Dr 157 days ago anon 5.00/5, 15~25 deals 5/5 The doctor does it again! Shipping took a bit longer this time, but no vendor's fault - all good as always!!! 159 days ago anon ~5/5, 6~10 deals 5/5 Very good shake 167 days ago anon ~5/5, 15~25 deals 5/5 Perfect as always. Thank you very much Doktor! 172 days ago anon ~5/5, 10~15 deals 5/5 Very satisfied, arrived quickly and no problems. 187 days ago anon ~5/5, 6~10 deals "," Netherlands ","Worldwide ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"psiCgYGvo","2014-10-19","GucciBuds","✫ ✬ ✭ ✮ ✯ 1OZ 28g SHAKE/TRIMMINGS ✫ ✬ ✭ ✮ ✯","[1.00e-07,1.49e+00)","Drugs","Cannabis","Shake/trim"," Feedbacks: 2/5 barley smokeable at all.. picture is defiantly outdated. its better for cooking. 123 days ago anon ~5/5, 15~25 deals 5/5 Prompt responses, professional packaging. great experience 128 days ago anon ~5/5, 10~15 deals 5/5 Came Very fast, best stealth I've ever seen, amazing deal, will return, 5/5 129 days ago anon 4.90/5, 25~40 deals 5/5 Fast shipping. Order on point weight wise. definitely more trim then shake/buds tho 133 days ago anon ~5/5, 25~40 deals 5/5 Gucci is a god, plain and simple 135 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
