"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"CattyCyV","2014-01-09","SusnaSmith","5 Grams AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Extremely fast shipment! 4 days ago anon [0 deals] ","
       USA
      ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"CattyCyV","2014-01-16","SusnaSmith","5 Grams AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Extremely fast shipment! 4 days ago anon [0 deals] ","
       USA
      ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"bBLkidzWK","2014-01-26","SusnaSmith","1 Gram AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Susna is a scholar and a gentleman. In every way a perfect transaction. 2 days ago anon [0 deals] ","
       USA
      ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"CattyCyV","2014-01-26","SusnaSmith","5 Grams AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Most Professional vendor I have ever dealt with. The price is right, the quality is amazing, and Susna ships faster than the sp 4 days ago anon ~5/5, 1~2 deals 5/5 Extremely fast shipment! 0 days ago anon [0 deals] ","
       USA
      ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"paXzyvVuF","2014-01-26","Heisenbergmontana","(1)Gram Shatter Wax THC- *HeisenbergMontana* $50*","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Fine stuff. Vacuum sealed. Thanks! 0 days ago anon ~5/5, 3~5 deals ","
       USA
    
    ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"bBLkidzWK","2014-02-02","SusnaSmith","1 Gram AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Susna is a scholar and a gentleman. In every way a perfect transaction. 2 days ago anon [0 deals] "," USA ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"CattyCyV","2014-02-02","SusnaSmith","5 Grams AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Most Professional vendor I have ever dealt with. The price is right, the quality is amazing, and Susna ships faster than the sp 4 days ago anon ~5/5, 1~2 deals 5/5 Extremely fast shipment! 1 days ago anon [0 deals] "," USA ","Worldwide
    ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"paXzyvVuF","2014-02-02","Heisenbergmontana","(1)Gram Shatter Wax THC- *HeisenbergMontana* $50*","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Fine stuff. Vacuum sealed. Thanks! 1 days ago anon ~5/5, 3~5 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"acAcpcgTKe","2014-02-05","Charlie_Bartlett","5$ Dime Bag! 1.0 gram top shelf cannabis weed pot marijuana MMJ JUST 5$ limited time","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Great product, fast shipping, and professionally wrapped. A++ 1 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"bBLkidzWK","2014-02-05","SusnaSmith","1 Gram AM-2201","[1.00e-07,1.49e+00)","Drugs","Cannabis","Synthetics"," Feedbacks: 5/5 Susna is a scholar and a gentleman. In every way a perfect transaction. 5 days ago anon [0 deals] "," From: USA To: Worldwide ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
