"Date","Close.Price","btcAge"
2014-01-01,770.44,"1264"
2014-01-02,808.05,"1265"
2014-01-03,830.02,"1266"
2014-01-04,858.98,"1267"
2014-01-05,940.1,"1268"
2014-01-06,951.39,"1269"
2014-01-07,810.58,"1270"
2014-01-08,859.95,"1271"
2014-01-09,860.89,"1272"
2014-01-10,884.67,"1273"
2014-01-11,930.9,"1274"
2014-01-12,873.26,"1275"
2014-01-13,857.96,"1276"
2014-01-14,851.83,"1277"
2014-01-15,874.71,"1278"
2014-01-16,847.37,"1279"
2014-01-17,828.22,"1280"
2014-01-18,843.76,"1281"
2014-01-19,878.68,"1282"
2014-01-20,871.05,"1283"
2014-01-21,874.29,"1284"
2014-01-22,863.95,"1285"
2014-01-23,854.35,"1286"
2014-01-24,825.12,"1287"
2014-01-25,861.85,"1288"
2014-01-26,880.15,"1289"
2014-01-27,814.53,"1290"
2014-01-28,833.94,"1291"
2014-01-29,837.51,"1292"
2014-01-30,845.85,"1293"
2014-01-31,848.29,"1294"
2014-02-01,853.02,"1295"
2014-02-02,854.37,"1296"
2014-02-03,846.9,"1297"
2014-02-04,842.01,"1298"
2014-02-05,820.87,"1299"
2014-02-06,783.62,"1300"
2014-02-07,703.57,"1301"
2014-02-08,676.91,"1302"
2014-02-09,681.94,"1303"
2014-02-10,679.73,"1304"
2014-02-11,669.44,"1305"
2014-02-12,648.38,"1306"
2014-02-13,598.41,"1307"
2014-02-14,656.61,"1308"
2014-02-15,645.43,"1309"
2014-02-16,610.65,"1310"
2014-02-17,621.49,"1311"
2014-02-18,621.22,"1312"
2014-02-19,617.71,"1313"
2014-02-20,552.21,"1314"
2014-02-21,569.04,"1315"
2014-02-22,604.75,"1316"
2014-02-23,604.58,"1317"
2014-02-24,545.32,"1318"
2014-02-25,534.71,"1319"
2014-02-26,577.09,"1320"
2014-02-27,576.7,"1321"
2014-02-28,543.93,"1322"
2014-03-01,563.74,"1323"
2014-03-02,560.3,"1324"
2014-03-03,661.12,"1325"
2014-03-04,663.6,"1326"
2014-03-05,661.79,"1327"
2014-03-06,658.72,"1328"
2014-03-07,625.83,"1329"
2014-03-08,615.24,"1330"
2014-03-09,633.18,"1331"
2014-03-10,625.83,"1332"
2014-03-11,628.95,"1333"
2014-03-12,631.39,"1334"
2014-03-13,638.16,"1335"
2014-03-14,626.71,"1336"
2014-03-15,633.67,"1337"
2014-03-16,630.72,"1338"
2014-03-17,621.22,"1339"
2014-03-18,613.63,"1340"
2014-03-19,608.82,"1341"
2014-03-20,586.59,"1342"
2014-03-21,570.77,"1343"
2014-03-22,564.42,"1344"
2014-03-23,561.35,"1345"
2014-03-24,586.27,"1346"
2014-03-25,582.28,"1347"
2014-03-26,579.07,"1348"
2014-03-27,478.16,"1349"
2014-03-28,502.44,"1350"
2014-03-29,493.18,"1351"
2014-03-30,461.87,"1352"
2014-03-31,458.5,"1353"
2014-04-01,478.72,"1354"
2014-04-02,437.51,"1355"
2014-04-03,447.08,"1356"
2014-04-04,448.88,"1357"
2014-04-05,464.83,"1358"
2014-04-06,460.7,"1359"
2014-04-07,446.22,"1360"
2014-04-08,450.46,"1361"
2014-04-09,440.2,"1362"
2014-04-10,360.84,"1363"
2014-04-11,420.06,"1364"
2014-04-12,420.66,"1365"
2014-04-13,414.95,"1366"
2014-04-14,457.63,"1367"
2014-04-15,520.12,"1368"
2014-04-16,529.16,"1369"
2014-04-17,494.4,"1370"
2014-04-18,478.23,"1371"
2014-04-19,501.55,"1372"
2014-04-20,497.32,"1373"
2014-04-21,493.09,"1374"
2014-04-22,484.43,"1375"
2014-04-23,486.93,"1376"
2014-04-24,500.26,"1377"
2014-04-25,459.61,"1378"
2014-04-26,456.14,"1379"
2014-04-27,429.65,"1380"
2014-04-28,437.06,"1381"
2014-04-29,444.25,"1382"
2014-04-30,445.87,"1383"
2014-05-01,456.27,"1384"
2014-05-02,446.64,"1385"
2014-05-03,436.94,"1386"
2014-05-04,434.06,"1387"
2014-05-05,429.72,"1388"
2014-05-06,426.99,"1389"
2014-05-07,436.96,"1390"
2014-05-08,435.34,"1391"
2014-05-09,448.23,"1392"
2014-05-10,452.71,"1393"
2014-05-11,436.54,"1394"
2014-05-12,438.43,"1395"
2014-05-13,437.41,"1396"
2014-05-14,441.75,"1397"
2014-05-15,444.32,"1398"
2014-05-16,445.01,"1399"
2014-05-17,446.36,"1400"
2014-05-18,444.81,"1401"
2014-05-19,444.31,"1402"
2014-05-20,485.83,"1403"
2014-05-21,489.16,"1404"
2014-05-22,526.06,"1405"
2014-05-23,519.04,"1406"
2014-05-24,525.63,"1407"
2014-05-25,570.09,"1408"
2014-05-26,581.83,"1409"
2014-05-27,569.63,"1410"
2014-05-28,574.45,"1411"
2014-05-29,565.51,"1412"
2014-05-30,616.47,"1413"
2014-05-31,623.26,"1414"
2014-06-01,629.02,"1415"
2014-06-02,658.79,"1416"
2014-06-03,665.73,"1417"
2014-06-04,636.78,"1418"
2014-06-05,656.06,"1419"
2014-06-06,645.56,"1420"
2014-06-07,652.71,"1421"
2014-06-08,653.64,"1422"
2014-06-09,645.34,"1423"
2014-06-10,649.81,"1424"
2014-06-11,627.91,"1425"
2014-06-12,581.8,"1426"
2014-06-13,597.43,"1427"
2014-06-14,571.69,"1428"
2014-06-15,591.97,"1429"
2014-06-16,588.06,"1430"
2014-06-17,607.34,"1431"
2014-06-18,604.88,"1432"
2014-06-19,592.26,"1433"
2014-06-20,588.52,"1434"
2014-06-21,591.03,"1435"
2014-06-22,598.88,"1436"
2014-06-23,587.46,"1437"
2014-06-24,575.07,"1438"
