Date,Price,Open,High,Low,Change %
2016-07-31,620.89,646.37,649,620,-3.94%
2016-07-30,646.37,648,650,645.51,-0.25%
2016-07-29,648,647.97,650,645.36,0.15%
2016-07-27,647,648.05,651.8,643,-0.16%
2016-07-26,648.05,648,653,641.01,0.01%
2016-07-25,648,653.41,656.71,645,-0.83%
2016-07-24,653.41,650,658.06,645.34,0.52%
2016-07-23,650,645,652,642,0.78%
2016-07-22,645,659.83,660.87,640,-2.25%
2016-07-21,659.83,655.92,661.1,650.55,0.60%
2016-07-20,655.92,661.22,663,652.39,-0.80%
2016-07-19,661.22,656.35,663.7,655,0.61%
2016-07-18,657.22,665.8,668.81,654.1,-1.23%
2016-07-17,665.43,649.28,669.01,647,2.53%
2016-07-16,649,651.79,654.9,646.42,-0.43%
2016-07-15,651.79,644.6,655,644.24,1.12%
2016-07-14,644.6,645.01,652,642.99,-0.06%
2016-07-13,645.01,650.2,659,645,-1.23%
2016-07-12,653.01,636.6,660,635,2.58%
2016-07-11,636.6,635.89,644.89,630,0.11%
2016-07-10,635.89,638,639,626.42,-0.33%
2016-07-09,638,646,648.5,620.03,-1.24%
2016-07-08,646,623.32,646,620.11,3.36%
2016-07-07,625,656,660,589.71,-4.73%
2016-07-06,656,650.5,662.5,650.5,0.85%
2016-07-05,650.5,661.23,664.88,645,-1.91%
2016-07-04,663.14,650.1,665.84,641.05,2.00%
2016-07-03,650.1,684,685.76,642.78,-4.96%
2016-07-02,684,662.75,687.8,658.9,3.36%
2016-07-01,661.78,662.31,674,648.18,-0.08%
2016-06-30,662.31,623.11,662.89,618,6.29%
2016-06-29,623.11,622.68,630,605.01,-0.05%
2016-06-28,623.42,635.01,640,622.68,-1.83%
2016-06-27,635.01,607.3,635.01,600,4.56%
2016-06-26,607.3,637.9,641.4,600,-4.80%
2016-06-25,637.9,636,660,627.34,0.30%
2016-06-24,636,596.9,669,596.9,6.55%
2016-06-23,596.9,545.9,606,522.48,9.34%
2016-06-22,545.9,638.29,666.39,538,-14.24%
2016-06-21,636.57,703,705.19,607.99,-9.45%
2016-06-20,703,729.85,733,698.96,-3.68%
2016-06-19,729.85,724,735,718,0.81%
2016-06-18,724,720.99,745,712.77,0.42%
2016-06-17,720.99,729.77,735.13,680,-1.20%
2016-06-16,729.77,669.43,740,662,9.01%
2016-06-15,669.43,672.61,678.9,650,-0.47%
2016-06-14,672.61,680.81,686,638,-1.29%
2016-06-13,681.39,632.57,690,624.5,7.72%
2016-06-12,632.57,589.99,646,584.46,7.22%
2016-06-11,589.99,566.52,590,565,4.14%
2016-06-10,566.52,562.74,568.2,561.1,0.67%
2016-06-09,562.74,568.95,570,558.85,-1.09%
2016-06-08,568.95,563.1,573.22,561.01,1.11%
2016-06-07,562.7,577.7,584,552.6,-2.60%
2016-06-06,577.7,562.3,578.91,560.23,2.74%
2016-06-05,562.3,560.5,569.15,557.56,0.32%
2016-06-04,560.5,551,578,548.11,1.72%
2016-06-03,551,526.95,555,525.01,4.56%
2016-06-02,526.95,524.77,529,521,0.42%
2016-06-01,524.77,513.69,527.89,511.14,2.16%
2016-05-31,513.69,525.89,538,508.11,-2.32%
2016-05-30,525.89,509.74,535.43,507.6,3.17%
2016-05-29,509.74,505,545,492,0.24%
2016-05-28,508.5,468,510.05,466.58,8.65%
2016-05-27,468,450.9,474,450,3.79%
2016-05-26,450.9,450.78,453,447,0.03%
2016-05-25,450.78,445.7,450.78,445.7,1.14%
2016-05-24,445.7,444.79,448.99,443.1,0.21%
2016-05-23,444.79,439.27,445.85,437.9,1.26%
