Date	Price	Open	High	Low	Change %
Jul 07, 2015	262.50	266.14	267.13	260.02	-1.37%
Jul 06, 2015	266.14	267.00	272.57	263.07	-0.22%
Jul 05, 2015	266.73	259.99	270.00	255.00	2.59%
Jul 04, 2015	259.99	253.91	260.29	251.00	2.40%
Jul 03, 2015	253.91	254.00	255.99	252.50	-0.04%
Jul 02, 2015	254.00	256.20	259.95	253.54	-0.86%
Jul 01, 2015	256.20	261.74	264.00	254.85	-2.10%
Jun 30, 2015	261.68	255.90	269.40	255.22	1.79%
Jun 29, 2015	257.09	246.76	257.25	246.74	4.15%
Jun 28, 2015	246.86	249.47	250.00	245.33	-0.99%
Jun 27, 2015	249.33	242.78	250.00	242.65	2.70%
Jun 26, 2015	242.78	244.46	244.58	241.00	-0.69%
Jun 25, 2015	244.46	240.73	245.30	240.20	1.55%
Jun 24, 2015	240.73	244.04	246.07	240.10	-1.36%
Jun 23, 2015	244.04	247.26	247.99	242.51	-1.50%
Jun 22, 2015	247.75	244.30	249.40	243.30	1.41%
Jun 21, 2015	244.30	245.14	246.95	240.57	-0.34%
Jun 20, 2015	245.14	243.82	249.09	240.00	0.54%
Jun 19, 2015	243.82	248.07	250.00	242.00	-1.72%
Jun 18, 2015	248.07	248.43	251.59	244.01	-0.14%
Jun 17, 2015	248.43	250.12	256.57	244.91	-0.63%
Jun 16, 2015	250.00	237.00	253.37	236.11	5.49%
Jun 15, 2015	237.00	234.42	239.48	234.30	1.10%
Jun 14, 2015	234.42	233.61	235.94	233.00	0.35%
Jun 13, 2015	233.61	231.20	234.00	230.22	1.04%
Jun 12, 2015	231.20	230.79	233.05	230.30	0.18%
Jun 11, 2015	230.79	230.44	231.80	229.79	0.15%
Jun 10, 2015	230.44	229.95	232.10	229.20	0.24%
Jun 09, 2015	229.88	228.69	232.53	227.59	0.52%
Jun 08, 2015	228.69	225.24	230.68	224.66	1.53%
Jun 07, 2015	225.24	227.76	228.40	224.89	-1.11%
Jun 06, 2015	227.76	227.02	228.40	225.70	0.47%
Jun 05, 2015	226.69	225.92	228.00	224.12	0.48%
Jun 04, 2015	225.62	227.50	228.60	224.48	-0.83%
Jun 03, 2015	227.50	226.64	229.36	226.00	0.36%
Jun 02, 2015	226.68	223.73	229.67	223.71	1.32%
Jun 01, 2015	223.73	231.04	232.84	222.10	-3.16%
May 31, 2015	231.04	235.09	235.79	230.00	-1.72%
May 30, 2015	235.09	237.98	238.00	232.87	-1.21%
May 29, 2015	237.98	239.01	240.00	236.97	-0.43%
May 28, 2015	239.01	239.00	239.99	237.66	0.00%
May 27, 2015	239.00	238.11	240.10	237.53	0.37%
May 26, 2015	238.11	238.30	240.34	236.21	-0.08%
May 25, 2015	238.30	242.03	243.22	236.82	-1.54%
May 24, 2015	242.03	239.84	244.00	240.00	0.91%
May 23, 2015	239.84	240.60	242.90	239.11	-0.32%
May 22, 2015	240.60	235.59	243.32	235.00	2.13%
May 21, 2015	235.59	234.43	237.30	233.29	0.49%
May 20, 2015	234.43	232.86	235.98	231.50	0.68%
May 19, 2015	232.86	233.63	234.50	231.90	-0.33%
May 18, 2015	233.63	236.27	237.74	231.59	-1.11%
May 17, 2015	236.26	236.41	238.10	235.04	-0.06%
May 16, 2015	236.41	237.46	238.35	235.45	-0.44%
May 15, 2015	237.46	236.52	239.17	235.00	0.40%
May 14, 2015	236.52	237.02	239.00	233.35	-0.25%
May 13, 2015	237.11	240.33	243.70	235.13	-1.34%
May 12, 2015	240.33	242.03	243.75	238.79	-0.70%
May 11, 2015	242.03	240.39	243.84	239.70	0.68%
May 10, 2015	240.39	241.46	245.00	238.75	-0.44%
May 09, 2015	241.46	242.79	247.79	238.98	-0.55%
May 08, 2015	242.79	236.95	245.00	236.00	2.47%
May 07, 2015	236.95	232.90	239.90	230.50	1.74%
May 06, 2015	232.90	238.00	239.00	230.10	-2.14%
May 05, 2015	238.00	238.49	239.00	232.72	-0.21%
May 04, 2015	238.49	241.00	243.42	237.29	-1.04%
May 03, 2015	241.00	235.59	243.90	235.66	2.30%
May 02, 2015	235.59	232.78	236.76	232.60	1.21%
May 01, 2015	232.78	237.72	240.90	232.60	-2.08%
Apr 30, 2015	237.72	227.60	243.65	226.25	4.45%
Apr 29, 2015	227.60	228.64	230.00	225.04	-0.46%
Apr 28, 2015	228.64	231.70	234.15	224.05	-1.15%
Apr 27, 2015	231.30	217.00	242.50	215.37	6.59%
Apr 26, 2015	217.00	224.21	220.65	210.86	-3.22%
Apr 25, 2015	224.21	228.81	230.04	224.00	-2.01%
Apr 24, 2015	228.81	233.00	233.89	227.00	-1.80%
Apr 23, 2015	233.00	232.49	234.17	230.12	0.22%
Apr 22, 2015	232.49	231.80	236.74	230.02	0.30%
Apr 21, 2015	231.80	223.02	232.99	220.00	3.95%
Apr 20, 2015	223.00	220.50	224.84	219.52	1.16%
Apr 19, 2015	220.45	220.64	225.00	219.50	-0.08%
Apr 18, 2015	220.64	221.95	222.98	218.06	-0.59%
Apr 17, 2015	221.95	227.00	227.27	219.43	-2.22%
Apr 16, 2015	227.00	222.35	228.31	222.35	2.09%
Apr 15, 2015	222.35	217.00	223.48	216.07	2.46%
Apr 14, 2015	217.00	220.34	222.86	214.01	-1.51%
Apr 13, 2015	220.34	232.97	234.41	219.52	-5.42%
Apr 12, 2015	232.97	234.07	235.00	227.05	-0.47%
Apr 11, 2015	234.07	232.50	235.49	228.62	0.68%
Apr 10, 2015	232.50	241.67	242.20	228.90	-3.80%
Apr 09, 2015	241.67	243.13	244.43	236.00	-0.60%
Apr 08, 2015	243.13	249.10	250.50	241.00	-2.39%
Apr 07, 2015	249.08	250.00	251.55	243.58	-0.37%
Apr 06, 2015	250.00	256.26	258.84	248.39	-2.44%
Apr 05, 2015	256.26	250.13	257.48	247.00	2.45%
Apr 04, 2015	250.13	250.75	252.00	246.61	-0.25%
Apr 03, 2015	250.75	249.00	253.00	248.01	0.70%
Apr 02, 2015	249.00	243.18	253.28	239.00	2.39%
Apr 01, 2015	243.19	241.06	244.97	237.47	0.88%
Mar 31, 2015	241.06	245.07	247.98	238.18	-1.72%
Mar 30, 2015	245.28	240.01	246.14	243.50	2.20%
Mar 29, 2015	240.01	249.75	246.84	236.10	-3.90%
Mar 28, 2015	249.75	244.93	252.40	244.25	1.97%
Mar 27, 2015	244.93	245.00	248.21	242.94	-0.03%
Mar 26, 2015	245.00	246.77	252.92	241.00	-0.72%
Mar 25, 2015	246.77	245.63	249.79	235.45	0.54%
Mar 24, 2015	245.44	263.36	265.27	243.50	-6.80%
Mar 23, 2015	263.36	266.36	269.70	257.36	-1.13%
Mar 22, 2015	266.36	257.69	269.00	257.89	3.37%
Mar 21, 2015	257.69	257.00	264.23	251.99	0.27%
Mar 20, 2015	257.00	256.40	260.99	254.00	0.23%
Mar 19, 2015	256.40	251.50	260.00	243.00	1.95%
Mar 18, 2015	251.50	281.00	282.58	244.00	-10.86%
Mar 17, 2015	282.14	287.53	289.32	279.77	-1.60%
Mar 16, 2015	286.72	281.90	291.00	286.00	1.71%
Mar 15, 2015	281.90	276.92	282.20	274.40	1.80%
Mar 14, 2015	276.92	282.68	283.46	274.01	-2.04%
Mar 13, 2015	282.68	291.00	291.71	282.67	-2.86%
Mar 12, 2015	291.00	294.49	293.50	290.00	-1.19%
Mar 11, 2015	294.49	287.60	295.00	285.01	2.39%
Mar 10, 2015	287.60	286.00	298.84	285.00	0.56%
Mar 09, 2015	286.00	272.10	293.46	276.11	5.11%
Mar 08, 2015	272.10	273.88	276.35	270.00	-0.65%
Mar 07, 2015	273.88	269.88	275.02	267.10	1.48%
Mar 06, 2015	269.88	272.25	276.00	266.01	-0.87%
Mar 05, 2015	272.25	268.65	276.00	260.00	1.56%
Mar 04, 2015	268.06	277.26	280.45	262.00	-3.32%
Mar 03, 2015	277.26	269.60	283.00	262.08	3.24%
Mar 02, 2015	268.55	251.73	269.98	247.93	6.44%
Mar 01, 2015	252.30	248.00	255.65	238.00	1.73%
Feb 28, 2015	248.00	246.30	249.68	243.68	0.47%
Feb 27, 2015	246.85	231.00	253.00	230.54	6.86%
Feb 26, 2015	231.00	231.09	232.18	228.00	-0.04%
Feb 25, 2015	231.09	232.10	233.00	228.78	-0.44%
Feb 24, 2015	232.10	232.87	233.99	227.78	-0.33%
Feb 23, 2015	232.87	230.23	234.00	225.00	1.15%
Feb 22, 2015	230.23	237.20	239.00	225.22	-2.94%
Feb 21, 2015	237.20	237.89	239.02	235.75	-0.29%
Feb 20, 2015	237.89	235.30	241.49	231.57	1.09%
Feb 19, 2015	235.32	233.21	239.00	231.41	0.90%
