Cocaine retail prices ,"street prices , US$ per gram"
"",EUROPE 1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,"",2002 ,2003 ,"",2004 ,2005 ,2006 ,"",2007 ,"",2008 ,2009 ,"",2010
Austria ,198 ,180 ,167 ,120 ,126 ,156 ,138 ,118 ,113 ,93 ,94 ,78 ,"",71 ,90 ,"",103 ,101 ,78 ,"",99 ,"",110 ,97 ,"",97
Belgium ,80 ,90 ,68 ,95 ,82 ,93 ,90 ,57 ,55 ,60 ,55 ,51 ,"",50 ,51 ,"",51 ,51 ,60 ,"",67 ,"",72 ,71 ,"",67
Denmark ,144 ,135 ,111 ,90 ,150 ,176 ,169 ,108 ,119 ,165 ,106 ,120 ,"",91 ,122 ,"",82 ,82 ,81 ,"",74 ,"",99 ,93 ,"",89
Finland ,159 ,150 ,126 ,105 ,165 ,191 ,184 ,123 ,179 ,157 ,138 ,121 ,"",111 ,151 ,"",146 ,125 ,100 ,"",110 ,"",154 ,139 ,"",106
France ,99 ,119 ,140 ,153 ,151 ,174 ,125 ,87 ,84 ,82 ,50 ,87 ,"",75 ,90 ,"",99 ,94 ,97 ,"",96 ,"",103 ,83 ,"",80
Germany ,120 ,103 ,111 ,95 ,109 ,103 ,90 ,77 ,72 ,68 ,57 ,58 ,"",57 ,68 ,"",73 ,79 ,74 ,"",86 ,"",91 ,87 ,"",87
Greece ,150 ,120 ,105 ,54 ,116 ,111 ,144 ,91 ,54 ,82 ,69 ,72 ,"",75 ,96 ,"",93 ,79 ,110 ,"",110 ,"",110 ,104 ,"",96
Ireland ,141 ,137 ,120 ,110 ,100 ,119 ,32 ,34 ,32 ,30 ,28 ,28 ,"",94 ,79 ,"",87 ,88 ,88 ,"",96 ,"",103 ,97 ,"",97
Italy ,108 ,120 ,164 ,90 ,104 ,113 ,129 ,109 ,129 ,135 ,100 ,89 ,"",90 ,101 ,"",113 ,114 ,104 ,"",112 ,"",111 ,99 ,"",92
Luxembourg ,150 ,150 ,150 ,150 ,172 ,194 ,127 ,115 ,110 ,119 ,119 ,119 ,"",107 ,96 ,"",114 ,105 ,106 ,"",89 ,"",89 ,89 ,"",166
Netherlands ,66 ,70 ,74 ,66 ,60 ,79 ,52 ,64 ,38 ,33 ,33 ,33 ,"",33 ,50 ,"",59 ,59 ,60 ,"",59 ,"",63 ,63 ,"",59
Norway ,176 ,170 ,255 ,156 ,145 ,150 ,153 ,177 ,133 ,128 ,114 ,157 ,"",165 ,170 ,"",155 ,155 ,151 ,"",164 ,"",154 ,154 ,"",154
Portugal ,63 ,57 ,60 ,57 ,59 ,66 ,64 ,57 ,51 ,43 ,56 ,48 ,"",36 ,47 ,"",49 ,55 ,56 ,"",55 ,"",66 ,66 ,"",61
Spain ,110 ,100 ,100 ,63 ,78 ,91 ,72 ,68 ,68 ,63 ,52 ,52 ,"",56 ,70 ,"",76 ,76 ,76 ,"",83 ,"",89 ,83 ,"",79
Sweden ,160 ,152 ,183 ,123 ,148 ,118 ,118 ,98 ,88 ,97 ,77 ,79 ,"",87 ,99 ,"",93 ,92 ,101 ,"",96 ,"",138 ,104 ,"",111
Switzerland ,178 ,144 ,188 ,136 ,146 ,148 ,127 ,117 ,110 ,109 ,77 ,69 ,"",74 ,89 ,"",86 ,86 ,74 ,"",75 ,"",65 ,82 ,"",96
United Kingdom ,131 ,127 ,69 ,123 ,113 ,111 ,102 ,124 ,128 ,104 ,94 ,94 ,"",84 ,90 ,"",91 ,79 ,87 ,"",91 ,"",74 ,62 ,"",62
"Unweighted average, in US$ ",131 ,125 ,129 ,105 ,119 ,129 ,113 ,95 ,92 ,92 ,78 ,80 ,"",80 ,92 ,"",92 ,89 ,88 ,"",92 ,"",99 ,93 ,"",94
"Weighted average, in US$ ",117 ,115 ,118 ,104 ,112 ,118 ,105 ,92 ,92 ,88 ,70 ,74 ,"",72 ,84 ,"",88 ,86 ,86 ,"",91 ,"",94 ,85 ,"",82
"Weighted average, in Euro ",92 ,92 ,91 ,88 ,94 ,91 ,83 ,81 ,82 ,82 ,76 ,83 ,"",76 ,74 ,"",71 ,69 ,71 ,"",67 ,"",64 ,61 ,"",62
"Inflation-adjusted weighted average, in 2010 Euro ",146 ,140 ,132 ,124 ,128 ,121 ,108 ,103 ,104 ,103 ,93 ,99 ,"",89 ,85 ,"",80 ,75 ,76 ,"",70 ,"",65 ,62 ,"",62
"Purity adjusted weighted average,* in Euro -",.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,"",.. ,158 ,"",153 ,151 ,184 ,"",168 ,"",158 ,162 ,"",191
"Purity- and inflation-adjusted,* in 2010 Euro ",.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,.. ,"",.. ,181 ,"",172 ,166 ,198 ,"",177 ,"",161 ,165 ,"",191
"* Based on 14 countries for which sufficient purity and price data were available, namely: Austria, Belgium, Denmark, France, Germany, Greece, Ireland, Luxembourg, Netherlands, Norway, Portugal, Spain, Switzerland and the United Kingdom.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","",USA ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010
Purity -,"",and inflation adjusted in 2010 US$ -,"",278 ,237 ,186 ,183 ,174 ,212 ,188 ,169 ,155 ,162 ,195 ,204 ,143 ,155 ,141 ,138 ,136 ,129 ,169 ,189 ,169
Purity-adjusted ,"","","",167 ,148 ,120 ,121 ,119 ,148 ,135 ,124 ,116 ,124 ,154 ,166 ,118 ,130 ,122 ,124 ,126 ,122 ,167 ,186 ,169
"Cocaine wholesale prices, US$ per kilogram"
"",EUROPE ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010
Austria ,"","66,000 ","66,000 ","54,000 ","40,000 ","41,946 ","52,084 ","45,875 ","56,723 ","54,440 ","38,859 ","47,094 ","43,995 ","42,385 ","59,300 ","55,894 ","59,757 ","50,185 ","61,661 ","66,176 ","48,668 ","48,668"
Belgium ,"","25,000 ","24,000 ","38,250 ","28,000 ","26,920 ","30,560 ","21,927 ","17,025 ","19,167 ","23,859 ","22,376 ","26,771 ","28,111 ","29,610 ","32,480 ","32,480 ","32,480 ","47,958 ","53,757 ","46,675 ","46,365"
Denmark ,"","80,000 ","85,000 ","85,000 ","82,500 ","58,516 ","60,034 ","46,141 ","38,640 ","44,517 ","78,900 ","43,462 ","47,839 ","37,823 ","53,160 ","45,896 ","50,321 ","40,520 ","40,445 ","43,447 ","40,730 ","44,501"
Finland ,"","79,500 ","75,000 ","62,750 ","52,500 ","82,500 ","95,450 ","91,750 ","61,550 ","89,350 ","78,460 ","68,321 ","59,492 ","51,804 ","62,150 ","68,315 ","68,315 ","56,611 ","61,660 ","66,176 ","62,573 ","59,612"
France ,"","117,000 ","38,250 ","45,000 ","38,250 ","40,000 ","39,877 ","48,077 ","43,554 ","42,159 ","27,714 ","27,000 ","34,978 ","37,676 ","45,200 ","49,683 ","50,321 ","50,190 ","61,661 ","44,118 ","41,715 ","39,741"
Germany ,"","69,000 ","53,100 ","60,300 ","54,142 ","57,692 ","54,676 ","53,925 ","45,294 ","41,210 ","39,639 ","33,752 ","33,235 ","34,476 ","40,110 ","44,243 ","46,525 ","45,320 ","48,826 ","54,114 ","57,171 ","53,496"
Greece ,"","75,000 ","90,000 ","95,000 ","36,000 ","46,413 ","53,098 ","72,015 ","43,795 ","49,180 ","49,320 ","41,237 ","40,359 ","42,385 ","53,680 ","57,446 ","62,902 ","62,735 ","62,735 ","69,853 ","63,964 ","59,612"
Ireland ,"","45,000 ","45,000 ","40,000 ","50,000 ","45,000 ","42,000 ","31,646 ","33,733 ","31,530 ","29,891 ","29,891 ","29,891 ","29,891 ","30,510 ","38,557 ","38,506 ","39,636 ",41107 ,"44,118 ","36,161 ","36,161"
Italy ,"","54,000 ","48,000 ","94,000 ","41,935 ","51,097 ","51,455 ","55,633 ","50,629 ","49,091 ","47,250 ","46,000 ","40,529 ","41,412 ","47,440 ","51,759 ","52,188 ","52,920 ","56,029 ","63,514 ","57,153 ","53,593"
Luxembourg ,"","93,919 ","95,939 ","113,521 ","50,847 ","157,593 ","141,343 ","47,625 ","43,103 ","41,072 ","47,718 ","47,718 ","47,718 ","47,718 ","47,718 ","31,052 ","31,450 ","31,450 ","31,451 ","31,451 ","31,451 ","31,451"
Netherlands ,"","26,500 ","28,000 ","29,500 ","26,500 ","24,680 ","33,232 ","23,894 ","","22,355 ","27,500 ","27,500 ","27,500 ","27,500 ","27,400 ","33,775 ","33,775 ","35,000 ","42,409 ","46,691 ","46,691 ","46,691"
Norway ,"","120,000 ","120,000 ","127,500 ","110,000 ","39,971 ","50,000 ","41,670 ","60,028 ","81,699 ","57,545 ","51,417 ","51,569 ","54,159 ","56,500 ","65,209 ","65,209 ","56,400 ","61,661 ","51,471 ","51,471 ","51,471"
Portugal ,"","39,500 ","39,285 ","33,000 ","27,000 ","27,950 ","34,483 ","42,591 ","37,908 ","33,447 ","30,000 ","28,000 ","29,080 ","31,046 ","32,410 ","36,399 ","36,399 ","31,365 ","34,256 ","44,118 ","41,716 ","39,741"
Spain ,"","65,000 ","60,000 ","55,000 ","35,000 ","36,434 ","41,322 ","38,760 ","36,806 ","38,924 ","38,898 ","30,882 ","38,898 ","31,511 ","38,830 ","42,167 ","41,321 ","41,210 ","46,274 ","48,709 ","45,941 ","45,034"
Sweden ,"","80,000 ","85,000 ","91,375 ","61,450 ","73,825 ","55,556 ","59,255 ","45,573 ","50,484 ","48,508 ","38,394 ","34,693 ","35,763 ","43,130 ","39,560 ","40,068 ","39,270 ","51,883 ","72,844 ","45,459 ","45,459"
Switzerland ,"","63,900 ","94,250 ","116,250 ","50,847 ","72,012 ","75,949 ","51,587 ","40,780 ","41,152 ","41,000 ","35,482 ","23,392 ","19,274 ","37,230 ","44,008 ","44,008 ","41,090 ","44,351 ","49,307 ","50,379 ","52,554"
United Kingdom ,"","47,850 ","46,475 ","20,625 ","43,210 ","45,000 ","46,774 ","40,625 ","47,500 ","47,500 ","33,981 ","38,168 ","36,008 ","35,848 ","40,880 ","50,036 ","50,036 ","50,943 ","60,362 ","64,682 ","76,963 ","76,897"
"Unweighted average, in US$ ","","67,481 ","64,312 ","68,298 ","48,717 ","54,562 ","56,347 ","47,823 ","43,915 ","45,722 ","43,473 ","38,629 ","37,997 ","36,987 ","43,839 ","46,263 ","47,270 ","44,549 ","50,278 ","53,797 ","49,699 ","48,885"
"Weighted average, in US$ ","","67,639 ","51,835 ","57,493 ","44,032 ","47,117 ","48,204 ","47,823 ","42,805 ","43,456 ","38,510 ","35,592 ","36,089 ","35,941 ","42,308 ","46,898 ","47,739 ","46,963 ","53,390 ","55,261 ","54,577 ","52,763"
"Weighted average, in Euro per gram ","",53 ,42 ,44 ,38 ,40 ,37 ,38 ,38 ,39 ,36 ,38 ,40 ,38 ,37 ,38 ,38 ,39 ,39 ,38 ,39 ,40
"Inflation-adjusted weighted average, in 2010 Euro per gram ","",84 ,63 ,64 ,53 ,54 ,49 ,49 ,48 ,49 ,45 ,47 ,48 ,45 ,43 ,42 ,42 ,42 ,41 ,38 ,40 ,40
"Heroin retail prices (street prices), US$ per gram"
"",EUROPE ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,"",2010
Austria ,"",270 ,250 ,203 ,132 ,138 ,103 ,87 ,70 ,94 ,57 ,75 ,44 ,92 ,68 ,75 ,74 ,69 ,99 ,110 ,97 ,"",97
