Date,Price
2015-07-07,1152.4
2015-07-06,1172.9
2015-07-03,1167.8
2015-07-02,1163
2015-07-01,1169
2015-06-30,1171.5
2015-06-29,1178.5
2015-06-26,1172.9
2015-06-25,1171.5
2015-06-24,1172.6
2015-06-23,1176.2
2015-06-22,1183.7
2015-06-19,1201.5
2015-06-18,1201.5
2015-06-17,1176.4
2015-06-16,1180.5
2015-06-15,1185.3
2015-06-12,1178.8
2015-06-11,1179.9
2015-06-10,1186.1
2015-06-09,1177.3
2015-06-08,1173.2
2015-06-05,1167.8
2015-06-04,1174.9
2015-06-03,1184.7
2015-06-02,1194.1
2015-06-01,1188.3
2015-05-29,1189.4
2015-05-28,1188.1
2015-05-27,1185.9
2015-05-26,1187.2
2015-05-25,1207.4
2015-05-24,1204.4
2015-05-22,1204.3
2015-05-21,1204.4
2015-05-20,1208.9
2015-05-19,1206.9
2015-05-18,1227.8
2015-05-15,1225.5
2015-05-14,1225.4
2015-05-13,1218.4
2015-05-12,1192.6
2015-05-11,1183.2
2015-05-08,1189.1
2015-05-07,1182.4
2015-05-06,1190.3
2015-05-05,1193.2
2015-05-04,1186.8
2015-05-01,1174.5
2015-04-30,1182.4
2015-04-29,1209.8
2015-04-28,1214
2015-04-27,1203.3
2015-04-24,1175.2
2015-04-23,1194.4
2015-04-22,1186.9
2015-04-21,1202.9
2015-04-20,1193.5
2015-04-17,1202.9
2015-04-16,1198
2015-04-15,1201.5
2015-04-14,1192.8
2015-04-13,1199.3
2015-04-10,1204.6
2015-04-09,1193.6
2015-04-08,1203.1
2015-04-07,1210.6
2015-04-06,1218.6
2015-04-03,1200.9
2015-04-02,1200.9
2015-04-01,1208.1
2015-03-31,1183.1
2015-03-30,1184.8
2015-03-27,1199.8
2015-03-26,1205.1
2015-03-25,1197.3
2015-03-24,1191.7
2015-03-23,1188
2015-03-20,1184.8
2015-03-19,1169.1
2015-03-18,1151.4
2015-03-17,1148.3
2015-03-16,1153.3
2015-03-13,1152.6
2015-03-12,1152.1
2015-03-11,1150.7
2015-03-10,1160.1
2015-03-09,1166.4
2015-03-06,1164.1
2015-03-05,1195.9
2015-03-04,1200.6
2015-03-03,1204
2015-03-02,1207.7
2015-02-27,1212.6
2015-02-26,1209.6
2015-02-25,1201
2015-02-24,1196.9
2015-02-23,1200.3
2015-02-20,1204.4
2015-02-19,1207.1
2015-02-18,1199.7
2015-02-17,1208.1
2015-02-16,1231.7
2015-02-15,1228.8
2015-02-13,1226.5
2015-02-12,1220.1
2015-02-11,1219
2015-02-10,1231.6
2015-02-09,1240.8
2015-02-06,1233.9
2015-02-05,1262
2015-02-04,1263.8
2015-02-03,1259.7
2015-02-02,1276.2
2015-01-30,1278.5
2015-01-29,1254.6
2015-01-28,1285.9
2015-01-27,1291.7
2015-01-26,1279.4
2015-01-23,1292.6
2015-01-22,1300.7
2015-01-21,1293.7
2015-01-20,1294.2
2015-01-19,1275.9
2015-01-18,1279
2015-01-16,1276.9
2015-01-15,1264.7
2015-01-14,1234.4
2015-01-13,1234.3
2015-01-12,1232.7
2015-01-09,1216
2015-01-08,1208.4
2015-01-07,1210.6
2015-01-06,1219.3
2015-01-05,1203.9
2015-01-02,1186
2015-01-01,1186.8
2014-12-31,1183.9
2014-12-30,1200.2
2014-12-29,1181.7
2014-12-26,1195.3
2014-12-25,1177
2014-12-24,1173.5
2014-12-23,1177.9
2014-12-22,1179.7
2014-12-19,1195.9
2014-12-18,1194.7
2014-12-17,1194.3
2014-12-16,1193.9
2014-12-15,1207.2
2014-12-12,1222
2014-12-11,1225.1
2014-12-10,1228.9
2014-12-09,1231.5
2014-12-08,1194.7
2014-12-05,1190.1
2014-12-04,1207.5
2014-12-03,1208.5
2014-12-02,1199.2
2014-12-01,1218
2014-11-28,1175.2
2014-11-27,1188.8
2014-11-26,1196.6
2014-11-25,1197.1
2014-11-24,1195.5
2014-11-21,1197.5
2014-11-20,1190.7
2014-11-19,1193.6
2014-11-18,1196.7
2014-11-17,1183
2014-11-14,1185
2014-11-13,1161.1
2014-11-12,1158.9
2014-11-11,1162.8
2014-11-10,1159.6
2014-11-07,1169.6
2014-11-06,1142.3
2014-11-05,1145.4
2014-11-04,1167.4
2014-11-03,1169.4
2014-10-31,1171.1
2014-10-30,1198.1
2014-10-29,1224.3
2014-10-28,1229.2
2014-10-27,1229.1
2014-10-24,1231.2
2014-10-23,1228.5
2014-10-22,1244.8
2014-10-21,1251
2014-10-20,1244
2014-10-17,1238.3
2014-10-16,1240.5
2014-10-15,1244.1
2014-10-14,1233.6
2014-10-13,1229.3
2014-10-10,1221
2014-10-09,1224.6
2014-10-08,1205.3
2014-10-07,1211.7
2014-10-06,1206.7
2014-10-03,1192.2
2014-10-02,1214.2
2014-10-01,1214.6
2014-09-30,1210.5
2014-09-29,1217.5
2014-09-26,1214.1
2014-09-25,1221.2
2014-09-24,1218.6
2014-09-23,1221
2014-09-22,1216.8
2014-09-19,1215.3
2014-09-18,1225.7
2014-09-17,1234.4
2014-09-16,1235.2
2014-09-15,1233.6
2014-09-12,1229.9
2014-09-11,1237.4
2014-09-10,1243.5
2014-09-09,1246.8
2014-09-08,1252.7
2014-09-05,1265.8
2014-09-04,1265.1
2014-09-03,1268.9
2014-09-02,1263.7
2014-09-01,1287.4
2014-08-31,1287.7
2014-08-29,1285.8
2014-08-28,1288.7
2014-08-27,1281.9
2014-08-26,1283.8
2014-08-25,1277.3
2014-08-22,1278.6
2014-08-21,1273.7
2014-08-20,1293.4
2014-08-19,1295.1
2014-08-18,1297.7
2014-08-15,1304.5
2014-08-14,1313.9
2014-08-13,1312.8
2014-08-12,1308.8
2014-08-11,1308.5
2014-08-08,1308.9
2014-08-07,1310.8
2014-08-06,1306.7
2014-08-05,1284
2014-08-04,1287.7
2014-08-01,1293.6
2014-07-31,1281.3
2014-07-30,1294.9
2014-07-29,1298.3
2014-07-28,1303.3
2014-07-25,1303.1
2014-07-24,1290.6
2014-07-23,1304.5
2014-07-22,1306.1
2014-07-21,1313.7
2014-07-18,1309.2
2014-07-17,1316.7
2014-07-16,1299.6
2014-07-15,1296.9
2014-07-14,1306.3
2014-07-11,1337
2014-07-10,1338.7
2014-07-09,1323.8
2014-07-08,1316
2014-07-07,1316.5
2014-07-04,1321.3
2014-07-03,1320.4
2014-07-02,1330.7
2014-07-01,1326.4
2014-06-30,1321.8
2014-06-27,1319
2014-06-26,1316.1
2014-06-25,1322.2
2014-06-24,1320.9
2014-06-23,1318
2014-06-20,1316.2
2014-06-19,1313.7
2014-06-18,1272.4
2014-06-17,1271.7
2014-06-16,1274.9
2014-06-13,1273.7
2014-06-12,1273.6
2014-06-11,1260.8
2014-06-10,1259.8
2014-06-09,1253.5
2014-06-06,1252.1
2014-06-05,1253
2014-06-04,1244
2014-06-03,1244.3
2014-06-02,1243.7
2014-05-30,1245.6
2014-05-29,1256.3
2014-05-28,1259.3
2014-05-27,1265.4
2014-05-26,1292.5
2014-05-25,1291.7
2014-05-23,1291.6
2014-05-22,1294.9
2014-05-21,1288
2014-05-20,1294.5
2014-05-19,1293.7
2014-05-16,1293.3
2014-05-15,1293.5
2014-05-14,1305.7
2014-05-13,1294.6
2014-05-12,1295.6
2014-05-09,1287.3
2014-05-08,1287.4
2014-05-07,1288.6
2014-05-06,1308.3
