"week","count","wk","month","lm.fitted","qm02.fitted","qm03.fitted","qm04.fitted"
2014-01-07,1054,"w1","01",-1409.36152410111,3862.07455973972,4390.35912719647,3780.22665345215
2014-01-14,1495,"w2","01",-554.244657406816,4041.4737789845,2365.99966704062,2346.80547642271
2014-01-21,2271,"w3","01",300.872209287481,4229.20636398077,3907.5658152115,3233.17340423512
2014-01-28,3166,"w4","01",1155.98907598178,4425.6594122032,5855.82330747154,5466.11979420786
2014-02-07,7018,"w1","02",2377.58459983068,4722.24100555193,6108.11406975755,4687.07288369496
2014-02-14,1012,"w2","02",3232.70146652497,4941.5962604486,3291.7115517429,2909.78539654562
2014-02-21,717,"w3","02",4087.81833321927,5171.14089953685,5436.4249126104,4008.78592225025
2014-02-28,18553,"w4","02",4942.93519991357,5411.34823516231,8146.95010091837,6777.39834543069
2014-03-07,18519,"w1","03",5798.05206660787,5662.71356574648,5170.90748528669,5691.78419468941
2014-03-14,0,"w2","03",6653.16893330216,5925.75519707381,2786.64342347288,3533.52101427964
2014-03-21,288,"w3","03",7508.28579999646,6201.01551101822,4602.2798449361,4868.10103412984
2014-03-28,0,"w4","03",8363.40266669076,6489.0620839141,6896.91200556903,8230.18752659685
2014-04-07,10378,"w1","04",9584.99819053989,6923.92075534268,5423.25268756599,7057.19783611637
2014-04-14,0,"w2","04",10440.1150572342,7245.54737295652,2922.63427234755,4381.18452894137
2014-04-21,1477,"w3","04",11295.2319239285,7582.11403463097,4826.87547766038,6035.91965347373
2014-04-28,8145,"w4","04",12150.3487906228,7934.31472806587,7233.48786968958,10204.5438858563
2014-05-07,6405,"w1","05",13249.7847620868,8411.28923274962,6536.55250242697,8689.67985386357
2014-05-14,1078,"w2","05",14104.9016287811,8802.00637138998,3522.60045164266,5394.64697197031
2014-05-21,12603,"w3","05",14960.0184954754,9210.87291355257,5817.74938400755,7432.15800808464
2014-05-28,22449,"w4","05",15815.1353621697,9638.73192655037,8718.39760376633,12565.0749039496
2014-06-07,10517,"w1","06",17036.7308860188,10284.6628955615,6558.57364225227,10774.2647583948
2014-06-14,3652,"w2","06",17891.8477527131,10762.4010813783,3534.46782011646,6688.77976307007
2014-06-21,9777,"w3","06",18746.9646194074,11262.3309303062,5837.34893172115,9215.07344942347
