"week","count","wk","month"
"2014-01-07",1054,"w1","01"
"2014-01-14",1495,"w2","01"
"2014-01-21",2271,"w3","01"
"2014-01-28",3166,"w4","01"
"2014-02-07",7018,"w1","02"
"2014-02-14",1012,"w2","02"
"2014-02-21",717,"w3","02"
"2014-02-28",18553,"w4","02"
"2014-03-07",18519,"w1","03"
"2014-03-14",0,"w2","03"
"2014-03-21",288,"w3","03"
"2014-03-28",0,"w4","03"
"2014-04-07",10378,"w1","04"
"2014-04-14",0,"w2","04"
"2014-04-21",1477,"w3","04"
"2014-04-28",8145,"w4","04"
"2014-05-07",6405,"w1","05"
"2014-05-14",1078,"w2","05"
"2014-05-21",12603,"w3","05"
"2014-05-28",22449,"w4","05"
"2014-06-07",10517,"w1","06"
"2014-06-14",3652,"w2","06"
"2014-06-21",9777,"w3","06"
"2014-06-28",1476,"w4","06"
"2014-07-07",381,"w1","07"
"2014-07-14",0,"w2","07"
"2014-07-21",24143,"w3","07"
"2014-07-28",15465,"w4","07"
"2014-08-07",3574,"w1","08"
"2014-08-14",316,"w2","08"
"2014-08-21",18060,"w3","08"
"2014-08-28",18515,"w4","08"
"2014-09-07",4786,"w1","09"
"2014-09-14",15257,"w2","09"
"2014-09-21",14244,"w3","09"
"2014-09-28",38379,"w4","09"
"2014-10-07",33618,"w1","10"
"2014-10-14",29122,"w2","10"
"2014-10-21",26111,"w3","10"
"2014-10-28",98240,"w4","10"
"2014-11-07",68851,"w1","11"
"2014-11-14",69201,"w2","11"
"2014-11-21",69512,"w3","11"
"2014-11-28",68464,"w4","11"
"2014-12-07",55065,"w1","12"
"2014-12-14",57895,"w2","12"
"2014-12-21",64826,"w3","12"
"2014-12-28",99192,"w4","12"
"2015-01-07",65290,"w1","01"
"2015-01-14",51472,"w2","01"
"2015-01-21",60830,"w3","01"
"2015-01-28",81562,"w4","01"
"2015-02-07",63124,"w1","02"
"2015-02-14",60398,"w2","02"
"2015-02-21",49362,"w3","02"
"2015-02-28",63172,"w4","02"
"2015-03-07",62921,"w1","03"
"2015-03-14",43576,"w2","03"
"2015-03-21",57789,"w3","03"
"2015-03-28",52345,"w4","03"
"2015-04-07",73219,"w1","04"
"2015-04-14",94267,"w2","04"
"2015-04-21",5596,"w3","04"
"2015-04-28",31291,"w4","04"
"2015-05-07",58882,"w1","05"
"2015-05-14",30645,"w2","05"
"2015-05-21",11903,"w3","05"
"2015-05-28",17183,"w4","05"
"2015-06-07",58683,"w1","06"
"2015-06-14",51713,"w2","06"
"2015-06-21",47168,"w3","06"
"2015-06-28",62030,"w4","06"
"2015-07-07",33273,"w1","07"
"2015-07-14",0,"w2","07"
"2015-07-21",0,"w3","07"
"2015-07-28",0,"w4","07"
