date, p, vendor
2015-01-01, 18963, 748
2015-01-02, 18188, 727
2015-01-04, 19509, 750
2015-01-06, 18136, 772
2015-01-07, 1179, 129
2015-01-08, 18868, 884
2015-01-09, 16153, 808
2015-01-10, 6353, 422
2015-01-15, 21369, 905
2015-01-16, 9467, 596
2015-01-18, 20472, 781
2015-01-21, 21615, 920
2015-01-23, 20947, 480
2015-01-24, 16534, 11
2015-01-26, 22451, 915 
2015-01-28, 14831, 774
2015-01-29, 20753, 937
2015-02-01, 22252, 946
2015-02-02, 15954, 824
2015-02-03, 14817, 775
2015-02-05, 13925, 653
2015-02-09, 22924, 914
2015-02-11, 16777, 806
2015-02-13, 20305, 856
2015-02-16, 21920, 893
2015-02-17, 13228, 679
2015-02-19, 17837, 839
2015-02-21, 12697, 420
2015-02-24, 21658, 887
2015-02-26, 19449, 881
2015-02-28, 20372, 886
2015-03-03, 23618, 910
2015-03-05, 14668, 695
2015-03-07, 24948, 924
2015-03-10, 24970, 925
2015-03-13, 24982, 910
2015-03-15, 24530, 895
2015-03-16, 11907, 577
2015-03-19, 23555, 883
2015-03-22, 24103, 995
2015-03-25, 8882, 587
2015-03-27, 6138, 426
2015-03-29, 17880, 856
2015-03-30, 16925, 845
2015-04-02, 24803, 939
2015-04-03, 18220, 883
2015-04-04, 3586, 312
2015-04-07, 21885, 1003
2015-04-09, 26163, 885
2015-04-10, 16734, 695
2015-04-12, 26938, 1052
2015-04-13, 25499, 1028
2015-04-14, 11257, 514
2015-04-20, 5603, 182
2015-04-22, 4474, 275
2015-04-23, 8453, 487
2015-04-25, 13138, 618
2015-04-27, 12970, 543
2015-04-30, 7684, 391
2015-05-03, 14488, 677
2015-05-04, 15886, 698
2015-05-05, 10119, 586
2015-05-06, 13250, 560
2015-05-10, 22654, 963
2015-05-11, 3768, 344
2015-05-13, 11977, 590
2015-05-15, 8100, 629
2015-05-16, 1430, 125
2015-05-17, 3290, 177
2015-05-21, 5236, 468
2015-05-28, 2933, 171
2015-05-29, 3017, 178
2015-05-31, 9509, 429
2015-06-01, 9260, 561
2015-06-02, 7554, 526
2015-06-04, 20995, 868
2015-06-07, 24191, 992
2015-06-11, 24710, 987
2015-06-12, 8238, 533
2015-06-13, 9707, 582
2015-06-15, 17179, 727
2015-06-20, 27654, 1046
2015-06-22, 15691, 647
2015-06-26, 24950, 1016
2015-06-28, 17175, 823
2015-06-30, 19714, 849
2015-07-01, 538, 98
2015-07-04, 11124, 648
2015-07-07, 22775, 933
