"julian.date","count"
"16071",1054
"16079",1495
"16086",2271
"16096",3166
"16103",3467
"16106",3551
"16111",1012
"16116",228
"16119",489
"16124",6889
"16125",3765
"16129",7899
"16130",5805
"16132",7251
"16135",5463
"16147",288
"16166",10378
"16181",1477
"16184",3780
"16185",377
"16186",3988
"16193",2325
"16195",1353
"16196",2727
"16200",1078
"16206",12603
"16214",12432
"16221",10017
"16222",9798
"16224",719
"16230",85
"16232",3567
"16237",1939
"16240",7838
"16243",1476
"16256",381
"16269",9780
"16272",14363
"16277",9539
"16280",5772
"16281",154
"16285",3567
"16287",7
"16291",316
"16297",15456
"16300",380
"16302",2224
"16309",13435
"16312",5080
"16318",4786
"16321",405
"16325",14852
"16328",14244
"16335",17671
"16336",1470
"16339",3143
"16342",12111
"16343",3984
"16346",350
"16347",12391
"16348",565
"16349",16038
"16350",4274
"16352",16226
"16353",2194
"16355",945
"16357",9757
"16360",5655
"16362",11133
"16363",9323
"16365",19962
"16366",6590
"16367",12182
"16368",8555
"16369",8281
"16370",6101
"16371",7707
"16372",10032
"16373",13318
"16374",5512
"16375",9237
"16376",17026
"16377",2770
"16378",941
"16379",18136
"16380",7777
"16381",12964
"16382",14334
"16383",6335
"16384",12161
"16385",4911
"16386",10277
"16387",8948
"16388",12235
"16389",15021
"16390",13975
"16391",14589
"16392",9419
"16393",3242
"16394",1286
"16395",11980
"16396",14488
"16397",17010
"16398",10407
"16399",6324
"16400",2459
"16401",2358
"16403",4383
"16404",11035
"16405",5615
"16406",14801
"16407",4204
"16408",1259
"16409",8854
"16410",12095
"16411",8237
"16412",9474
"16413",7058
"16414",5251
"16415",11102
"16416",4876
"16417",12521
"16418",7613
"16419",8132
"16420",12171
"16421",9099
"16422",8974
"16423",11899
"16424",7930
"16425",6621
"16426",16967
"16427",10506
"16428",12292
"16429",4314
"16430",138
"16431",13329
"16432",1321
"16433",17640
"16434",10932
"16435",11753
"16436",8942
"16437",9974
"16438",13018
"16439",7727
"16440",6537
"16441",8157
"16442",10935
"16443",14166
"16444",10978
"16445",5699
"16447",5017
"16448",11774
"16449",3838
"16450",6534
"16451",6860
"16452",10857
"16453",5998
"16454",7489
"16455",12249
"16456",10843
"16457",10472
"16458",6936
"16459",15660
"16460",13420
"16461",6547
"16462",10591
"16463",427
"16464",315
"16465",15023
"16466",2171
"16467",11066
"16468",14220
"16469",11328
"16470",10122
"16471",1100
"16472",2048
"16473",13240
"16474",5170
"16475",5155
"16476",13190
"16477",7028
"16478",10853
"16479",6099
"16480",12903
"16481",4007
"16482",6240
"16483",11083
"16484",12821
"16485",6366
"16486",8325
"16487",520
"16488",7350
"16489",10776
"16490",3881
"16491",16486
"16492",2346
"16493",14430
"16494",7903
"16495",13449
"16496",5594
"16497",6600
"16498",7378
"16499",11207
"16500",12701
"16501",5992
"16502",16162
"16503",5226
"16504",122
"16507",10948
"16508",11118
"16509",6658
"16510",10538
"16511",14469
"16512",3793
"16513",2307
"16514",11412
"16515",8612
"16516",3874
"16517",7416
"16520",2232
"16521",12373
"16522",9412
"16523",2966
"16524",7283
"16525",6789
"16526",13343
"16527",8485
"16528",15511
"16530",7281
"16531",8634
"16532",19965
"16533",13614
"16534",11065
"16535",11863
"16536",18982
"16537",11880
"16538",20445
"16539",6418
"16543",1126
"16544",4470
"16548",1165
"16549",3493
"16550",9919
"16551",7028
"16552",3593
"16553",3235
"16554",2858
"16556",589
"16557",593
"16558",13487
"16559",15715
"16560",9606
"16561",8708
"16562",10184
"16563",4207
"16564",5354
"16565",2684
"16566",3577
"16567",7497
"16568",4014
"16569",3312
"16570",3504
"16571",1213
"16572",1974
"16575",495
"16576",4717
"16582",1829
"16583",1097
"16584",3017
"16585",2781
"16586",8459
"16587",9454
"16588",9139
"16589",10328
"16590",8762
"16591",9568
"16592",8520
"16593",2912
"16594",2577
"16595",9503
"16596",8145
"16597",5526
"16598",5610
"16599",10888
"16600",9464
"16601",6589
"16602",8610
"16603",7805
"16604",7128
"16605",2897
"16606",5173
"16607",8966
"16608",2980
"16609",8726
"16610",5681
"16611",7124
"16612",5582
"16613",8830
"16614",8681
"16615",9630
"16616",4796
"16617",467
"16619",1188
"16620",9239
"16621",10907
"16622",8171
"16623",3301
