"week","count","wk","month","lm.fitted","qm02.fitted","qm03.fitted","qm04.fitted","qSR202.fitted","jq.fitted","jlm.fitted"
2014-06-07,10517,"w1","06",17036.7308860188,10284.6628955615,6558.57364225227,10774.2647583948,9761.2906104611,14014.323619419,17761.278409967
2014-06-14,3652,"w2","06",17891.8477527131,10762.4010813783,3534.46782011646,6688.77976307007,21986639.1168278,14527.5860979709,18631.5584755167
2014-06-21,9777,"w3","06",18746.9646194074,11262.3309303062,5837.34893172115,9215.07344942347,8397.72077847436,15059.6463707685,19501.8385410661
2014-06-28,1476,"w4","06",19602.0814861017,11785.4832787449,8747.769210988,15579.3361781932,14889.5962301815,15611.1928907638,20372.1186066156
2014-07-07,381,"w1","07",20701.5174575658,12493.9723218443,8424.39999471592,13266.5844978973,11681.3905081697,16350.1084980084,21491.0501194649
2014-07-14,0,"w2","07",21556.6343242601,13074.3362804201,4539.97657254131,8236.03873716342,26311532.7404159,16948.9170770149,22361.3301850143
2014-07-21,24143,"w3","07",22411.7511909544,13681.6590248595,7497.99651447676,11346.7186218765,10049.5989420497,17569.6565021891,23231.6102505637
2014-07-28,15465,"w4","07",23266.8680576487,14317.192831643,11236.3923795961,19183.1725378856,17818.4622315537,18213.1299717987,24101.8903161132
2014-08-07,3574,"w1","08",24488.4635814978,15276.646659152,9583.4274561277,16449.1323298185,14063.1114717959,19173.47150833,25345.1475526124
2014-08-14,316,"w2","08",25343.5804481921,15986.2700599791,5164.58574649347,10211.7987551797,31676196.2253977,19875.6833150543,26215.4276181619
2014-08-21,18060,"w3","08",26198.6973148864,16728.8565437547,8529.56954891236,14068.7059393505,12098.6136085465,20603.6130217054,27085.7076837113
2014-08-28,18515,"w4","08",27053.8141815807,17505.937295663,12782.293256017,23785.0626611121,21451.4719324787,21358.2025241197,27955.9877492607
2014-09-07,4786,"w1","09",28275.4097054298,18679.0819714359,19468.0317784469,20395.1480086506,16930.4419820435,22484.3773804631,29199.2449857599
2014-09-14,15257,"w2","09",29130.5265721241,19546.7536515266,10491.4781163141,12661.5278466022,38134661.9829805,23307.8482504384,30069.5250513094
2014-09-21,14244,"w3","09",29985.6434388184,20454.7299967813,17327.1965374479,17443.6763088768,14565.4022705757,24161.4780286287,30939.8051168588
2014-09-28,38379,"w4","09",30840.7603055127,21404.8832200097,25966.2936302032,29490.9095289499,25825.216682001,25046.3712589569,31810.0851824083
2014-10-07,33618,"w1","10",31940.1962769767,22691.6463396479,47661.6084209598,25112.9854770893,3953.40371686406,26231.8767329839,32929.0166952576
2014-10-14,29122,"w2","10",32795.313143671,23745.70771877,25685.2221851429,15590.4122291546,8904771.33348135,27192.5965247249,33799.296760807
2014-10-21,26111,"w3","10",33650.4300103653,24848.7318471931,42420.4185507408,21478.7747373084,3401.14661715197,28188.5018477049,34669.5768263565
2014-10-28,98240,"w4","10",34505.5468770596,26002.993118863,63570.6440810597,36312.7927481844,6030.41005826829,29220.8813415662,35539.8568919059
2014-11-07,68851,"w1","11",35727.1424009087,27745.5603642694,81670.6356422288,31137.3904394855,4759.4639631633,30761.63936228,36783.1141284051
2014-11-14,69201,"w2","11",36582.259267603,29034.3837129295,44012.9591084053,19330.4278033607,10720366.8780716,31888.2577915514,37653.3941939546
