"week","count","wk","month","lm.fitted","qm02.fitted","qm03.fitted","qm04.fitted","qSR201.fitted","qSR202.fitted"
2014-01-07,1054,"w1","01",1487.9407047001,3862.07455973972,4390.35912719647,3780.22665345215,3226.18797548586,3953.40371686406
2014-01-14,1495,"w2","01",1845.79701921992,4041.4737789845,2365.99966704062,2346.80547642271,3368.96569418554,8904771.33348135
2014-01-21,2271,"w3","01",2203.6533337386,4229.20636398077,3907.5658152115,3233.17340423512,3518.06216340806,3401.14661715197
2014-01-28,3166,"w4","01",2561.50964825727,4425.6594122032,5855.82330747154,5466.11979420786,3673.75702488284,6030.41005826829
2014-02-07,7018,"w1","02",3072.73295471253,4722.24100555193,6108.11406975755,4687.07288369496,3908.20610442418,4759.4639631633
2014-02-14,1012,"w2","02",3430.58926923122,4941.5962604486,3291.7115517429,2909.78539654562,4081.16712096681,10720366.8780716
2014-02-21,717,"w3","02",3788.4455837499,5171.14089953685,5436.4249126104,4008.78592225025,4261.78267579231,4094.6070568806
2014-02-28,18553,"w4","02",4146.30189826858,5411.34823516231,8146.95010091837,6777.39834543069,4450.39152706409,7259.95152809545
2014-03-07,18519,"w1","03",4504.15821278727,5662.71356574648,5170.90748528669,5691.78419468941,4647.34742497908,5627.89763450564
2014-03-14,0,"w2","03",4862.01452730595,5925.75519707381,2786.64342347288,3533.52101427964,4853.01977525283,12676454.2942419
2014-03-21,288,"w3","03",5219.87084182464,6201.01551101822,4602.2798449361,4868.10103412984,5067.79433196807,4841.72788112304
2014-03-28,0,"w4","03",5577.72715634332,6489.0620839141,6896.91200556903,8230.18752659685,5292.07392108542,8584.63565389371
2014-04-07,10378,"w1","04",6088.95046279858,6923.92075534268,5423.25268756599,7057.19783611637,5629.79953855538,6775.37076862181
2014-04-14,0,"w2","04",6446.80677731727,7245.54737295652,2922.63427234755,4381.18452894137,5878.95115059996,15261059.005122
2014-04-21,1477,"w3","04",6804.66309183595,7582.11403463097,4826.87547766038,6035.91965347373,6139.12918114475,5828.90871259856
2014-04-28,8145,"w4","04",7162.51940635464,7934.31472806587,7233.48786968958,10204.5438858563,6410.82161380731,10334.9586730302
2014-05-07,6405,"w1","05",7622.62038216437,8411.28923274962,6536.55250242697,8689.67985386357,6777.88223518109,8108.12370457338
2014-05-14,1078,"w2","05",7980.47669668306,8802.00637138998,3522.60045164266,5394.64697197031,7077.84323265164,18262993.7905956
2014-05-21,12603,"w3","05",8338.33301120174,9210.87291355257,5817.74938400755,7432.15800808464,7391.07926159672,6975.48732289203
2014-05-28,22449,"w4","05",8696.18932572042,9638.73192655037,8718.39760376633,12565.0749039496,7718.17781993165,12367.9022542448
2014-06-07,10517,"w1","06",9207.41263217569,10284.6628955615,6558.57364225227,10774.2647583948,8210.73072241355,9761.2906104611
2014-06-14,3652,"w2","06",9565.26894669437,10762.4010813783,3534.46782011646,6688.77976307007,8574.10365985889,21986639.1168278
2014-06-21,9777,"w3","06",9923.12526121306,11262.3309303062,5837.34893172115,9215.07344942347,8953.55797862493,8397.72077847436
2014-06-28,1476,"w4","06",10280.9815757317,11785.4832787449,8747.769210988,15579.3361781932,9349.80537404844,14889.5962301815
2014-07-07,381,"w1","07",10741.0825515415,12493.9723218443,8424.39999471592,13266.5844978973,9885.14165028041,11681.3905081697
2014-07-14,0,"w2","07",11098.9388660602,13074.3362804201,4539.97657254131,8236.03873716342,10322.6170809044,26311532.7404159
2014-07-21,24143,"w3","07",11456.7951805788,13681.6590248595,7497.99651447676,11346.7186218765,10779.4533623054,10049.5989420497
2014-07-28,15465,"w4","07",11814.6514950975,14317.192831643,11236.3923795961,19183.1725378856,11256.5073255567,17818.4622315537
2014-08-07,3574,"w1","08",12325.8748015528,15276.646659152,9583.4274561277,16449.1323298185,11974.866695393,14063.1114717959
2014-08-14,316,"w2","08",12683.7311160715,15986.2700599791,5164.58574649347,10211.7987551797,12504.8247020226,31676196.2253977
2014-08-21,18060,"w3","08",13041.5874305902,16728.8565437547,8529.56954891236,14068.7059393505,13058.236455231,12098.6136085465
2014-08-28,18515,"w4","08",13399.4437451088,17505.937295663,12782.293256017,23785.0626611121,13636.1399207095,21451.4719324787
2014-09-07,4786,"w1","09",13910.6670515641,18679.0819714359,19468.0317784469,20395.1480086506,14506.3609046378,16930.4419820435
2014-09-14,15257,"w2","09",14268.5233660828,19546.7536515266,10491.4781163141,12661.5278466022,15148.3523609124,38134661.9829805
2014-09-21,14244,"w3","09",14626.3796806015,20454.7299967813,17327.1965374479,17443.6763088768,15818.7557002665,14565.4022705757
2014-09-28,38379,"w4","09",14984.2359951202,21404.8832200097,25966.2936302032,29490.9095289499,16518.8283149785,25825.216682001
