"week","count","wk","month","lm.fitted","qm02.fitted","qm03.fitted","qm04.fitted","postsr2q01.fitted","postsr2lm01.fitted","pSR.q01.fitted","pSR.lm01.fitted"
2014-09-07,4786,"w1","09",28275.4097054298,18679.0819714359,19468.0317784469,20395.1480086506,67560.6104883644,65470.4889363565,50074.5345739064,50323.3019167665
2014-09-14,15257,"w2","09",29130.5265721241,19546.7536515266,10491.4781163141,12661.5278466022,66811.0731127004,64921.429179944,50127.451876222,50365.4192303503
2014-09-21,14244,"w3","09",29985.6434388184,20454.7299967813,17327.1965374479,17443.6763088768,66069.8513261567,64372.3694235304,50180.4250999936,50407.536543934
2014-09-28,38379,"w4","09",30840.7603055127,21404.8832200097,25966.2936302032,29490.9095289499,65336.8528731299,63823.3096671168,50233.4543043174,50449.6538575177
2014-10-07,33618,"w1","10",31940.1962769767,22691.6463396479,47661.6084209598,25112.9854770893,64303.796539234,63038.938586526,50301.7170622274,50503.8046892682
2014-10-14,29122,"w2","10",32795.313143671,23745.70771877,25685.2221851429,15590.4122291546,63590.3912198497,62489.8788301125,50354.8744443463,50545.9220028519
2014-10-21,26111,"w3","10",33650.4300103653,24848.7318471931,42420.4185507408,21478.7747373084,62884.900629877,61940.8190736989,50408.0880016306,50588.0393164355
2014-10-28,98240,"w4","10",34505.5468770596,26002.993118863,63570.6440810597,36312.7927481844,62187.2369609685,61391.7593172854,50461.3577934445,50630.1566300192
2014-11-07,68851,"w1","11",35727.1424009087,27745.5603642694,81670.6356422288,31137.3904394855,61301.6019633237,60685.8253447537,50537.5551635579,50690.3242208531
2014-11-14,69201,"w2","11",36582.259267603,29034.3837129295,44012.9591084053,19330.4278033607,60621.5038776573,60136.7655883401,50590.9617724787,50732.4415344368
2014-11-21,69512,"w3","11",37437.3761342973,30383.0748603381,72689.5852244232,26631.3615228055,59948.9510011097,59587.7058319266,50644.4248199404,50774.5588480205
2014-11-28,68464,"w4","11",38292.4930009916,31794.4147565226,108931.592581396,45023.9421664891,59283.8596249014,59038.646075513,50697.9443655857,50816.6761616042
2014-12-07,55065,"w1","12",39391.9289724557,33705.7487217053,77422.9415629991,38340.1401926382,58346.5085896103,58254.2749949222,50766.8383238191,50870.8269933546
2014-12-14,57895,"w2","12",40247.04583915,35271.4318568186,41723.8427773756,23801.9725321836,57699.1951830072,57705.2152385087,50820.4872324719,50912.9443069383
2014-12-21,64826,"w3","12",41102.1627058443,36909.8433475551,68908.9960524222,32791.7696343101,57059.063262606,57156.1554820951,50874.1928357209,50955.061620522
2014-12-28,99192,"w4","12",41957.2795725386,38624.3615363092,103266.054689956,55438.9507381251,56426.0331548768,56607.0957256816,50927.9551934793,50997.1789341057
2015-01-07,65290,"w1","01",43178.8750963877,41212.7384581599,48335.4603988605,47537.6340965874,55533.867885447,55822.7246450908,51004.8571323228,51057.3465249396
2015-01-14,51472,"w2","01",44033.991963082,43127.1326491491,26048.3664084647,29511.8759432504,54917.7587458989,55273.6648886772,51058.757572285,51099.4638385233
2015-01-21,60830,"w3","01",44889.1088297763,45130.4533530468,43020.1692492768,40658.2536846007,54308.4849031938,54724.6051322637,51112.7149726543,51141.581152107
2015-01-28,81562,"w4","01",45744.2256964706,47226.8313412141,64469.4220633749,68738.3129442433,53705.9705245288,54175.5453758501,51166.7293936248,51183.6984656907
2015-02-07,63124,"w1","02",46965.8212203195,50391.6950560692,67247.005809072,58941.5334463211,53110.1406184127,53626.4856194366,51243.9918849168,51243.8660565245
2015-02-14,60398,"w2","02",47820.9380870138,52732.4656988016,36239.9495677118,36591.5396512691,52520.9210253315,53077.425863023,51298.1450354853,51285.9833701082
2015-02-21,49362,"w3","02",48676.0549537081,55181.9686871267,59852.0743888804,50411.8445303937,51938.2384085195,52528.3661066095,51352.3554135181,51328.1006836919
2015-02-28,63172,"w4","02",49531.1718204024,57745.2548033656,89693.4789537131,85228.0860931131,51362.0202448304,51979.3063501959,51406.6230794916,51370.2179972756
2015-03-07,62921,"w1","03",50386.2886870967,60427.6094463356,56928.872272198,71576.1194257464,50549.9232734834,51194.9352696051,51460.9480939459,51412.3353108593
2015-03-14,43576,"w2","03",51241.405553791,63234.5635296434,30679.4248348953,44435.2268920253,49989.1074881236,50645.8755131916,51515.3305174852,51454.452624443
2015-03-21,57789,"w3","03",52096.5224204853,66171.9048862191,50668.5919635547,61218.0239230751,49434.5135587972,50096.815756778,51569.7704107777,51496.5699380267
2015-03-28,52345,"w4","03",52951.6392871796,69245.690202608,75931.2410355103,103497.403476686,48886.0724583951,49547.7560003645,51624.2678345559,51538.6872516104
2015-04-07,73219,"w1","04",54173.2348110287,73886.1279814841,59707.0553725417,88746.659720565,48189.8650244848,48841.8220278327,51702.2212154207,51598.8548424442
2015-04-14,94267,"w2","04",55028.351677723,77318.2506574873,32176.6099397928,55094.8834923022,47655.2324226928,48292.7622714192,51756.8586093321,51640.9721560279
2015-04-21,5596,"w3","04",55883.4685444173,80909.8006358128,53141.2674319585,75903.7397033333,47126.5311929592,47743.7025150056,51811.5537424419,51683.0894696116
2015-04-28,31291,"w4","04",56738.5854111116,84668.1835563884,79636.757800788,128325.605271685,46603.6955308895,47194.6427585921,51866.3066757673,51725.2067831953
2015-05-07,58882,"w1","05",57838.0213825756,89758.0452896807,71963.8793712735,109275.675555649,45866.8335497251,46410.2716780013,51936.7883335654,51779.3576149458
2015-05-14,30645,"w2","05",58693.1382492699,93927.4425907496,38781.9104766746,67839.5179293263,45357.9733455267,45861.2119215877,51991.6736111408,51821.4749285295
2015-05-21,11903,"w3","05",59548.2551159642,98290.5147183821,64050.2489236591,93461.9112358527,44854.7585867926,45312.1521651742,52046.6168898709,51863.5922421132
2015-05-28,17183,"w4","05",60403.3719826585,102856.258161935,95984.8044110849,158010.084563233,44357.1266412823,44763.0924087606,52101.6182310495,51905.7095556968
2015-06-07,58683,"w1","06",61624.9675065076,109749.077986128,72206.3201149862,135490.038745849,43725.4178587688,44057.158436229,52180.2924178225,51965.8771465307
2015-06-14,51713,"w2","06",62480.0843732019,114847.089067735,38912.5637335683,84113.6773212025,67560.6104883644,65470.4889363565,52235.435023386,52007.9944601144
2015-06-21,47168,"w3","06",63335.2012398962,120181.91049404,64266.0292584572,115882.678466335,66811.0731127004,64921.429179944,52290.635902041,52050.1117736981
2015-06-28,62030,"w4","06",64190.3181065905,125764.542464623,96308.1697934108,195915.44386111,66069.8513261567,64372.3694235304,52345.8951153686,52092.2290872818
2015-07-07,33273,"w1","07",65289.7540780546,133324.928257822,92748.0510207784,166831.805970301,65336.8528731299,63823.3096671168,52417.0284908318,52146.3799190322
