date, p, vendor
2014-01-01, 1539, 119
2014-01-09, 1859, 166
2014-01-16, 2533, 195
2014-01-26, 3051, 235
2014-02-02, 3526, 273
2014-02-05, 3618, 285
2014-02-10, 3035, 258
2014-02-15, 1251, 139
2014-02-18, 2935, 335
2014-02-23, 7287, 585
2014-02-24, 3793, 408
2014-02-28, 7899, 671
2014-03-01, 5088, 507
2014-03-03, 7251, 637
2014-03-06, 5466, 527
2014-03-18, 289, 74
2014-04-06, 10729, 797
2014-04-21, 1495, 444
2014-04-24, 3847, 444
2014-04-25, 379, 46
2014-04-26, 4252, 357
2014-05-03, 2360, 266
2014-05-05, 1357, 148
2014-05-06, 2738, 289
2014-05-10, 1088, 124
2014-05-16, 12771, 861
2014-05-24, 12570, 848
2014-05-31, 10157, 594
2014-06-01, 9811, 678
2014-06-03, 719, 129
2014-06-09, 85, 1
2014-06-11, 3987, 375
2014-06-16, 1979, 182
2014-06-19, 8029, 575
2014-06-22, 1476, 58
2014-07-05, 381, 51
2014-07-18, 9835, 672
2014-07-21, 14389, 841
2014-07-26, 9674, 705
2014-07-29, 5786, 325
2014-07-30, 154, 31
2014-08-03, 3831, 387
2014-08-05, 8, NA
2014-08-09, 317, 21
2014-08-14, 15516, 951
2014-08-18, 380, 60
2014-08-20, 2262, 167
2014-08-27, 13437, 825
2014-08-30, 5305, 323
2014-09-05, 4817, 407
2014-09-08, 405, 41
2014-09-15, 14545, 822
2014-09-20, 14862, 695
2014-09-22, 19757, 1035
2014-09-23, 1480, NA
2014-09-26, 4432, 374
2014-09-29, 13513, 797
2014-09-30, 4358, 128
2014-10-03, 350, 47
2014-10-04, 12994, 621
2014-10-05, 774, 95
2014-10-06, 17644, 960
2014-10-07, 4276, 61
2014-10-09, 17746, 928
2014-10-10, 2194, NA
2014-10-12, 6022, 365
2014-10-14, 9897, 409
2014-10-16, 1, NA
2014-10-17, 7260, 571
2014-10-19, 13312, 688
2014-10-20, 9323, 409
2014-10-22, 17588, 1073
2014-10-23, 6301, 295
2014-10-25, 21471, 1088
2014-10-27, 15161, 880
2014-10-29, 19097, 1077
2014-10-31, 21019, 1087
2014-11-01, 16643, 977
2014-11-03, 21339, 1055
2014-11-06, 18030, 900
2014-11-07, 17020, 866
2014-11-08, 15567, 806
2014-11-10, 18262, 905
2014-11-11, 6503, 485
2014-11-13, 19277, 938
2014-11-14, 8869, 529
2014-11-15, 14184, 720
2014-11-16, 19661, 933
2014-11-18, 20227, 954
2014-11-19, 7250, 461
2014-11-21, 7762, 437
2014-11-22, 19469, 947
2014-11-23, 11021, 594
2014-11-24, 15806, 807
2014-11-25, 7890, 474
2014-11-27, 2459, 63
2014-11-28, 2359, 65
2014-12-01, 17767, 747
2014-12-03, 21769, 930
2014-12-04, 1710, 92
2014-12-06, 16833, 819
2014-12-07, 11679, 433
2014-12-10, 21556, 912
2014-12-12, 20544, 820
2014-12-15, 22413, 911
2014-12-17, 21347, 837
2014-12-18, 10040, 358
2014-12-20, 19999, 874
2014-12-21, 10779, 503
2014-12-23, 21636, 863
2014-12-24, 14404, 666
2014-12-26, 12398, 561
2014-12-28, 20412, 793
2014-12-30, 18665, 785
