"word","frequency"
"this",2375
"quality",1493
"please",1475
"listing",1448
"the",1413
"mdma",1252
"high",1223
"lsd",1009
"pills",914
"grams",910
"will",886
"white",880
"order",861
"purity",831
"pure",807
"read",797
"powder",770
"for",758
"profile",703
"dutch",678
"free",665
"kush",661
"gram",657
"name",652
"cocaine",626
"how",609
"new",601
"total",593
"weight",592
"compound",586
"tested",586
"formula",578
"appearance",577
"related",577
"substance",572
"weed",572
"cas",568
"impurities",568
"iupac",568
"molecular",568
"you",567
"grade",564
"can",557
"product",550
"best",538
"generic",534
"before",531
"brand",518
"shipping",506
"guide",502
"one",501
"crystal",500
"crystals",480
"get",479
"offer",478
"sent",475
"strong",466
"good",451
"page",430
"blotter",425
"very",399
"via",395
"download",386
"only",382
"delivery",381
"digital",364
"green",361
"reagent",345
"thc",344
"aaa",342
"our",328
"strain",323
"card",310
"number",309
"time",309
"paypal",301
"price",301
"clean",296
"usa",296
"online",294
"these",292
"great",291
"make",289
"day",288
"available",286
"buy",285
"hash",285
"terms",285
"sweet",284
"and",281
"made",279
"account",274
"heroin",274
"indica",273
"potent",269
"questioning",268
"early",267
"blotters",262
"just",260
"ordering",259
"top",259
"manufactured",258
"speed",256
"replica",251
"all",247
"tracking",245
"check",244
"orders",243
"chno",240
"next",239
"blue",236
"first",233
"tutorial",232
"key",230
"use",230
"seeds",228
"indoor",226
"xanax",226
"carding",225
"full",223
"real",223
"big",220
"license",219
"like",219
"cards",218
"money",218
"now",218
"yellow",218
"not",217
"chfno",216
"per",214
"with",214
"also",210
"fresh",209
"mda",209
"legitimate",208
"your",208
"hybrid",207
"paste",207
"tabs",207
"watch",205
"pharma",204
"book",201
"escrow",201
"must",201
"buds",199
"finalize",197
"body",196
"sample",196
"special",196
"visa",196
"well",196
"bulk",195
"australia",192
"xtc",191
"discreet",190
"ndd",189
"vendor",189
"contains",186
"grown",186
"stealth",186
"used",185
"small",184
"meth",183
"acid",181
"ship",181
"worldwide",181
"nice",180
"sind",180
"black",178
"many",177
"super",176
"ketamine",172
"haze",171
"info",170
"original",170
