"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to"
"2014-10-14__dyFTyfzBW5.html","2014-10-14","the_real_caliconnect","Caliconnects GH HP Green Crack 1k! FROST ON FROST",2.45092032,977.2064407872,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Always FE for CC!!!! 39 days ago anon ~5/5, 25~40 deals 5/5 this stuff is awesome though, nice sized nugs smells and looks great just wish the grapefruit was as worth the $$$ 53 days ago anon ~5/5, 10~15 deals 5/5 fire!!! CC is the best plug for bulk green on the internet hands down 53 days ago anon ~5/5, 15~25 deals 5/5 fucking FIRE. frosty as shit, purple specs, slightly leafy, slight. Cant beat price. 53 days ago anon ~5/5, 15~25 deals 5/5 Received the Cherry Pie from last week. Cali reimbursed me in a swift manner. Great vendor. Thanks! 57 days ago anon 5.00/5, 15~25 deals 5/5 No doubt always FE for my bro CC!! 57 days ago anon ~5/5, 25~40 deals 5/5 flame i like these packs 58 days ago anon ~5/5, 15~25 deals 5/5 In CC we trust! :-D 58 days ago anon ~5/5, 25~40 deals ","uk, usa& worldwide","no info"
"2014-10-14__gmBVu5KiGl.html","2014-10-14","budbrother","5 regular seeds - Skunk Kush - pain relief",0.06574276,26.2122958396,398.71,"Drugs","Cannabis","Seeds"," Feedbacks: 5/5 105 days ago anon ~5/5, 1~2 deals 5/5 Awesome vendor. Super quick and the best service. Thanks BB 269 days ago anon 5.00/5, 40~55 deals ","uk, usa philippines","no info"
"2014-10-14__Jhr2tbqSlM.html","2014-10-14","OzGrow","OzGrow's Gold Standard *1 oz = 28Grams*",0.92153765,367.4262764315,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 All fives as usual 11 days ago anon ~5/5, 1~2 deals 5/5 Excellent customer service and communication. Wonderful product. OG continues to impress. 20 days ago anon 5.00/5, 10~15 deals 5/5 Best weed available and great service 21 days ago anon ~5/5, 1~2 deals 5/5 good as always. cheers 23 days ago anon ~5/5, 6~10 deals 5/5 Fantastic! The best that money can buy! 56 days ago anon 5.00/5, 10~15 deals 5/5 Great service as always, Thanks! 61 days ago anon ~5/5, 1~2 deals 5/5 Great stealth, awesome high, excellent vendor! 62 days ago anon ~5/5, 6~10 deals 5/5 Fantastic as always! Reliable, fast, good quality. 69 days ago anon 5.00/5, 10~15 deals 5/5 5/5 again. Stealth, speed, product all perfect. Best vendor with best bud 73 days ago anon 5.00/5, 15~25 deals 5/5 beautiful. 81 days ago anon ~5/5, 1~2 deals 5/5 as always-top notch heavy duty indica,delivered on time with the best stealth you'll get on the darknet.i've tried the rest but 89 days ago anon ~5/5, 3~5 deals 5/5 Great service as usual. Thanks! 90 days ago anon ~5/5, 1~2 deals 5/5 Some delivery delays but they sorted it out and the stuff looks great 118 days ago anon ~5/5, 3~5 deals 5/5 No shit, you can't go wrong with these guys. Thanks OzGrow, and thanks Agora. 133 days ago anon ~5/5, 3~5 deals 5/5 FE'd and arrived with great speed. Vendor has excellent communication and product is top knotch. I'll be back for sure 167 days ago anon 5.00/5, 15~25 deals 5/5 Once again great product, great stealth, quick postage! Never disappoints 167 days ago anon ~5/5, 15~25 deals 5/5 Don't like to FE, but have done many deals with them, and as usual all went well 174 days ago anon ~5/5, 1~2 deals 5/5 Great sellers, brilliant packaging for stealth. 185 days ago anon ~5/5, 15~25 deals 5/5 Top shelf as always. Will be back for more! 189 days ago anon 5.00/5, 10~15 deals 4/5 2 day delivery, decent stealth. Gear weighed under (only slighlty) but was a little damp so when dried out weighed even less. 193 days ago anon [0 deals] ","uk, usa philippines","australia only"
"2014-10-14__tF0GXsj7CD.html","2014-10-14","SunnySouthAfrica","1g SAMPLE Lesotho Rare Sativa Bud High Grade Outdoor African Weed",0.02342468,9.3396541628,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 A+. Great stealth. Quick delivery 141 days ago anon ~5/5, 15~25 deals 5/5 Trade ok. Weed very seedy & quality seems low, I'd be hesitant if I were to sell it, but it should be smokeable enough for me. 213 days ago anon ~5/5, 3~5 deals 5/5 received in 12 days to the west coast USA. super positive experience. this is exactly what I've been looking for! will definite 223 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","no info"
"2014-10-14__ZsU2Ax5CEc.html","2014-10-14","the_real_caliconnect","Caliconnects GH HP Krypto Kush 850",2.08328227,830.6254738717,398.71,"Drugs","Cannabis","Weed"," Feedbacks: 5/5 Arrived in 3 days. Consistent in quality with what I've gotten before for 850, def doubled up. White shirt too! 53 days ago anon 5.00/5, 40~55 deals 5/5 59 days ago anon 5.00/5, 55~70 deals 5/5 Cali Birds.. You the real plug 59 days ago anon ~5/5, 15~25 deals 5/5 Thanks for the shirt, good stuff for price. 60 days ago anon 5.00/5, 25~40 deals 5/5 boom!ready for more=] 5/5!! 60 days ago anon ~5/5, 40~55 deals 5/5 Great for the price 62 days ago anon 5.00/5, 25~40 deals 5/5 FE. I hope its not some stupid shit and I can actually sell the qp for 800 in my area. If so I'll be back for sure. 62 days ago anon 3~5 deals 5/5 Always FE for CC!!! 64 days ago anon ~5/5, 25~40 deals 5/5 64 days ago anon ~5/5, 25~40 deals 5/5 FE for my boy. 64 days ago anon 5.00/5, 25~40 deals 5/5 FE for my boy. 64 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","no info"
"2014-10-17__KngLB3YS0s.html","2014-10-17","Perron","0.5 Gram High Quality Dutch MDMA[83%] *FULL ESCROW* SAMPLE",0.01978891,7.5280971422,380.42,"Drugs","Ecstasy","MDMA"," Feedbacks: 5/5 Everything good & quick delivery, A++ 4 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","europe"
"2014-10-17__saq681A9N9.html","2014-10-17","PleasureNator","Micron Filter",0.00783269,2.9797119298,380.42,"Drugs","Prescription","NA"," Feedbacks: 5/5 thanks mate 31 days ago anon ~5/5, 15~25 deals ","uk, usa philippines","worldwide"
"2014-10-19__crfy6PlLAS.html","2014-10-19","wakeside917","Boardwalk Empire Seasons 1-4 (AVI)",0.02554343,9.8748346037,386.59,"Data","Pirated","NA"," Feedbacks: 5/5 Always reliable, thank you 148 days ago anon ~5/5, 25~40 deals ","uk, usa philippines","no info"
"2014-10-19__fxzuuvWY6o.html","2014-10-19","captainkirk","Origins: The Quest for Our Cosmic Roots",0.00252557,0.9763601063,386.59,"Information","Guides","NA"," Feedbacks: 5/5 Arrived fast. Thanks 72 days ago anon ~5/5, 15~25 deals 5/5 83 days ago anon ~4/5, 40~55 deals 5/5 This book is amazing, thank you 128 days ago anon 5.00/5, 15~25 deals 5/5 141 days ago anon 5.00/5, 100~150 deals 5/5 Good information :) 141 days ago anon 5.00/5, 25~40 deals ","uk, usa philippines","everywhere"
"2014-10-19__hxeht7CbTt.html","2014-10-19","captainkirk","PALADIN PRESS LIBRARY BOOK COLLECTION - BOMBS - SURVIVAL - WEAPONS",0.00252557,0.9763601063,386.59,"Information","eBooks","NA"," Feedbacks: 5/5 Quickest. 0 days ago anon 3~5 deals 5/5 informative books. thanks Captain !!! 9 days ago anon ~5/5, 15~25 deals 5/5 A+ Thanks 44 days ago anon ~5/5, 15~25 deals 5/5 Too nuch to read 70 days ago anon ~5/5, 6~10 deals 5/5 great service.. great products.. great price... will be ordering more...thanks 85 days ago anon ~5/5, 6~10 deals ","uk, usa philippines","everywhere"
