Date,Price,Open,High,Low,Vol,Change
2015-12-31,37.28,36.57,37.95,36.1,149.60K,2.25%
2015-12-30,36.46,37.29,37.55,36.35,173.51K,-3.52%
2015-12-29,37.79,36.59,37.98,36.56,171.68K,3.19%
2015-12-28,36.62,37.84,37.95,36.41,84.34K,-3.35%
2015-12-24,37.89,37.77,38.1,36.91,111.02K,1.42%
2015-12-23,37.36,36.37,37.88,36.28,196.98K,3.46%
2015-12-22,36.11,36.36,36.72,35.98,166.30K,-0.66%
2015-12-21,36.35,36.55,36.75,36.04,175.12K,-1.44%
2015-12-18,36.88,36.81,37.73,36.41,218.04K,-0.49%
2015-12-17,37.06,37.6,37.93,36.75,200.85K,-0.35%
2015-12-16,37.19,38.09,38.45,37.11,18.23K,-3.28%
2015-12-15,38.45,37.89,39.41,37.55,73.70K,1.40%
2015-12-14,37.92,37.85,38.43,36.33,115.12K,-0.03%
2015-12-11,37.93,39.55,39.74,37.36,167.31K,-4.53%
2015-12-10,39.73,40.44,40.7,39.46,188.99K,-0.95%
2015-12-09,40.11,40.63,41.59,39.57,284.65K,-0.37%
2015-12-08,40.26,40.82,41.45,39.81,328.38K,-1.15%
2015-12-07,40.73,43.26,43.26,40.6,272.44K,-5.28%
2015-12-04,43,43.98,44.82,42.67,345.83K,-1.92%
2015-12-03,43.84,42.77,44.69,42.61,271.48K,3.18%
2015-12-02,42.49,44.32,44.64,42.43,324.06K,-4.39%
2015-12-01,44.44,44.62,45.18,44.03,301.20K,-0.38%
2015-11-30,44.61,44.86,45.75,44.44,235.94K,-0.56%
2015-11-27,44.86,45.57,45.63,44.79,165.31K,-1.32%
2015-11-26,45.46,46.23,46.32,45,97.32K,-1.54%
2015-11-25,46.17,46.04,46.5,45.03,229.11K,0.11%
2015-11-24,46.12,45.11,46.5,44.92,271.93K,2.88%
2015-11-23,44.83,44.46,45.73,43.57,291.00K,0.38%
2015-11-20,44.66,44.38,45.5,44.06,245.34K,1.09%
2015-11-19,44.18,44.3,44.76,43.7,201.03K,0.09%
2015-11-18,44.14,43.97,44.74,43.34,255.68K,1.31%
2015-11-17,43.57,44.7,45.1,43.5,260.70K,-2.22%
2015-11-16,44.56,44.7,45.18,43.15,310.12K,2.18%
2015-11-13,43.61,44.08,44.85,43.57,28.63K,-1.02%
2015-11-12,44.06,45.92,46.27,43.89,132.49K,-3.82%
2015-11-11,45.81,47.08,47.73,45.62,193.34K,-3.44%
2015-11-10,47.44,47.32,47.86,46.96,206.34K,0.53%
2015-11-09,47.19,47.46,48.41,47.01,202.18K,-0.49%
2015-11-06,47.42,48.05,48.58,47.27,245.49K,-1.17%
2015-11-05,47.98,48.84,49,47.93,228.00K,-1.24%
2015-11-04,48.58,50.25,50.87,48.49,328.14K,-3.88%
2015-11-03,50.54,48.9,50.91,48.46,283.36K,3.59%
2015-11-02,48.79,49.5,49.69,48.61,224.28K,-1.55%
2015-10-30,49.56,48.66,50,48.28,238.59K,1.56%
2015-10-29,48.8,49.15,49.38,48.17,213.93K,-0.51%
2015-10-28,49.05,46.91,49.23,46.61,306.60K,4.79%
2015-10-27,46.81,47.43,47.57,46.41,243.11K,-1.54%
2015-10-26,47.54,48,48.33,47.3,193.98K,-0.94%
2015-10-23,47.99,48.32,48.65,47.45,242.06K,-0.19%
2015-10-22,48.08,47.96,48.73,47.65,201.59K,0.48%
2015-10-21,47.85,48.58,48.65,47.5,244.64K,-1.77%
2015-10-20,48.71,48.83,49.2,48.22,253.33K,0.21%
2015-10-19,48.61,50.38,50.68,48.57,223.31K,-3.67%
2015-10-16,50.46,50.21,50.7,49.31,225.96K,3.59%
2015-10-15,48.71,49.01,49.38,48.21,16.79K,-0.90%
2015-10-14,49.15,49.22,49.52,48.71,63.28K,-0.18%
2015-10-13,49.24,50.27,50.7,48.88,108.37K,-1.24%
2015-10-12,49.86,52.64,53.31,49.77,166.83K,-5.30%
2015-10-09,52.65,53.35,54.05,52.21,174.34K,-0.75%
2015-10-08,53.05,51.76,53.52,51.28,219.94K,3.35%
2015-10-07,51.33,52.15,53.15,51.21,299.91K,-1.14%
2015-10-06,51.92,49.35,52.26,48.86,303.58K,5.42%
2015-10-05,49.25,48.08,49.87,47.84,215.45K,2.33%
2015-10-02,48.13,47.99,48.5,46.93,201.59K,0.92%
2015-10-01,47.69,48.4,49.84,47.62,239.32K,-1.41%
2015-09-30,48.37,47.96,49,47.79,219.89K,0.29%
2015-09-29,48.23,47.45,48.65,47.25,181.41K,1.88%
2015-09-28,47.34,48.34,48.44,47.25,188.28K,-2.59%
2015-09-25,48.6,48.17,49.1,47.86,189.40K,0.89%
2015-09-24,48.17,47.88,48.47,47.4,198.04K,0.88%
2015-09-23,47.75,49.08,50.25,47.68,232.27K,-2.71%
2015-09-22,49.08,48.5,49.21,47.7,185.41K,0.33%
2015-09-21,48.92,47.64,48.99,47.48,179.90K,3.05%
2015-09-18,47.47,49.26,49.75,47.16,225.72K,-3.28%
2015-09-17,49.08,49.98,50.14,48.32,228.86K,-1.35%
2015-09-16,49.75,48.06,50.34,47.71,288.33K,6.69%
2015-09-15,46.63,46.65,46.9,45.98,18.46K,0.56%
2015-09-14,46.37,48.08,48.35,46.26,104.06K,-3.68%
2015-09-11,48.14,48.64,48.98,47.16,143.41K,-1.53%
2015-09-10,48.89,47.46,48.95,46.76,192.42K,2.75%
2015-09-09,47.58,49.39,50.04,47.32,173.22K,-3.92%
