Date,Price,Open,High,Low,Vol,Change
2015-12-31,37.04,36.81,37.79,36.22,283.62K,1.20%
2015-12-30,36.6,37.36,37.4,36.4,267.91K,-3.35%
2015-12-29,37.87,36.7,37.94,36.66,241.95K,2.88%
2015-12-28,36.81,38,38.09,36.6,220.64K,-3.39%
2015-12-24,38.1,37.86,38.28,37.38,205.87K,1.60%
2015-12-23,37.5,36.47,37.95,36.28,374.66K,3.76%
2015-12-22,36.14,35.8,36.54,35.66,302.26K,4.03%
2015-12-21,34.74,34.58,34.86,33.98,27.29K,0.03%
2015-12-18,34.73,34.87,35.57,34.29,116.04K,-0.63%
2015-12-17,34.95,35.8,35.84,34.63,196.23K,-1.60%
2015-12-16,35.52,36.79,37.35,35.29,402.97K,-4.90%
2015-12-15,37.35,36.32,37.88,36.03,474.16K,2.86%
2015-12-14,36.31,35.4,36.7,34.53,550.48K,1.94%
2015-12-11,35.62,36.63,36.84,35.16,505.41K,-3.10%
2015-12-10,36.76,37.27,37.54,36.38,513.94K,-1.08%
2015-12-09,37.16,37.86,38.99,36.87,646.17K,-0.93%
2015-12-08,37.51,37.68,38.58,36.64,767.18K,-0.37%
2015-12-07,37.65,40.1,40.15,37.5,635.41K,-5.80%
2015-12-04,39.97,41.31,42,39.6,510.76K,-2.70%
2015-12-03,41.08,40.15,41.78,40.07,496.88K,2.85%
2015-12-02,39.94,41.69,41.97,39.84,545.29K,-4.56%
2015-12-01,41.85,41.73,42.23,41.17,415.54K,0.48%
2015-11-30,41.65,41.77,42.61,41.5,369.51K,-0.14%
2015-11-27,41.71,43.25,43.3,41.67,316.48K,-2.07%
2015-11-26,42.59,43.08,43.29,42.3,-,-1.05%
2015-11-25,43.04,42.69,43.25,41.72,383.16K,0.40%
2015-11-24,42.87,42.04,43.46,41.86,430.30K,2.68%
2015-11-23,41.75,41.49,42.75,40.41,516.19K,3.37%
2015-11-20,40.39,40.54,40.99,38.99,33.71K,-0.37%
2015-11-19,40.54,40.72,41.05,39.89,131.36K,-0.52%
2015-11-18,40.75,41.11,41.55,39.91,251.52K,0.20%
2015-11-17,40.67,41.96,42.03,40.58,363.71K,-2.56%
2015-11-16,41.74,40.92,42.25,40.06,535.18K,2.45%
2015-11-13,40.74,41.61,42.21,40.22,480.89K,-2.42%
2015-11-12,41.75,43.05,43.33,41.54,545.35K,-2.75%
2015-11-11,42.93,43.63,44.11,42.62,502.37K,-2.90%
2015-11-10,44.21,44.1,44.76,43.57,445.97K,0.78%
2015-11-09,43.87,44.52,45.12,43.64,487.99K,-0.95%
2015-11-06,44.29,45.41,45.64,44.11,448.13K,-2.01%
2015-11-05,45.2,46.57,46.65,45.12,437.65K,-2.42%
2015-11-04,46.32,47.74,48.28,46.17,459.31K,-3.30%
2015-11-03,47.9,46.11,48.36,45.96,434.57K,3.81%
2015-11-02,46.14,46.43,46.73,45.56,305.52K,-0.97%
2015-10-30,46.59,45.74,47.03,45.48,363.31K,1.15%
2015-10-29,46.06,46.06,46.79,45.16,436.51K,0.26%
2015-10-28,45.94,43.44,46.22,43.06,521.52K,6.34%
2015-10-27,43.2,43.78,43.91,42.58,370.83K,-1.77%
2015-10-26,43.98,44.74,44.94,43.64,302.08K,-1.39%
2015-10-23,44.6,45.44,45.75,44.2,406.58K,-1.72%
2015-10-22,45.38,45.27,46.1,44.9,322.74K,0.40%
2015-10-21,45.2,45.88,46.08,44.86,384.29K,-0.77%
2015-10-20,45.55,46.25,46.52,45.23,38.95K,-0.74%
2015-10-19,45.89,47.27,47.49,45.85,125.84K,-2.90%
2015-10-16,47.26,46.87,47.5,46.16,198.13K,1.90%
2015-10-15,46.38,46.28,47.02,45.23,370.94K,-0.56%
2015-10-14,46.64,46.69,46.96,45.94,348.24K,-0.04%
2015-10-13,46.66,47.46,48.43,46.44,465.39K,-0.93%
2015-10-12,47.1,49.51,50.13,47.04,408.66K,-5.10%
2015-10-09,49.63,49.69,50.92,49.17,508.68K,0.40%
2015-10-08,49.43,48.11,50.07,47.76,509.76K,3.39%
2015-10-07,47.81,49,49.71,47.7,547.49K,-1.48%
2015-10-06,48.53,46.2,49.08,45.73,453.10K,4.91%
2015-10-05,46.26,45.65,46.94,45.21,323.06K,1.58%
