"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to"
"2014-01-01__ABnFuNDr6M.html",2014-01-01,"passman","Carding Setup (TorBrowser) Tutorial",0.02001334,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    superb communication and fast delivery. best in the game!
                    

                    5 days ago
                    anon [0 deals]
                
            
        
    
","none","none"
"2014-01-01__beBeDFkFqs.html",2014-01-01,"digitalpunk","1G- Meth/Ice - High Quality",0.77384923,"Drugs","Stimulants","Meth","
    Feedbacks:
    
        
            
                
                    5/5
                    5/5, A+++ Vendor
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," Australia ","Australia "
"2014-01-01__bFXgGykuEt.html",2014-01-01,"UnclePsychedelic","2C-B HCl 1g",0.12683578,"Drugs","Psychedelics","2C","
    Feedbacks:
    
        
            
                
                    5/5
                    Vendor is very friendly and the shipping was fast. 

I also have to note this was absolutely the best stealth I have seen so 
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
"," Norway ","Worldwide"
"2014-01-01__c4TySLe5wS.html",2014-01-01,"SusnaSmith","5 Grams 4-MEC",0.14686248,"Drugs","Ecstasy","Other","
    Feedbacks:
    
        
            
                
                    5/5
                    5/5 perfect
                    

                    3 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","USA"
"2014-01-01__cEcJmcRWqD.html",2014-01-01,"beige4you","1/8g (125mg) RAW UNCUT #4",0.05390835,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    FE for trusted vendor, will update soon
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
","none","USA"
"2014-01-01__CJPDKMv4tV.html",2014-01-01,"Dandelion","139 Drugrelated Books 1.1GB, sorted - no dupes",0.00272606,"Information","eBooks",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    All delivered as promised! Nice info!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","Worldwide"
"2014-01-01__Cq4y26dwGd.html",2014-01-01,"AusGuy","One Point (.1) - Crystal Meth - AAA+ Imported",0.08005336,"Drugs","Stimulants","Meth","
    Feedbacks:
    
        
            
                
                    5/5
                    As usual Ausguy comes through with great gear, overweight, next day delivery. This vendor is the gold standard and fully deserv
                    

                    1 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    Awesome vendor. Great Communication and fast shipping.
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
"," Australia ","Australia "
"2014-01-01__dmA5WJyC5a.html",2014-01-01,"Jack_N_Hoff","100 gram sample of big pure dimethylone (bk-MDDMA) crystals [LEGAL WORLDWIDE]",0.6141522,"Drugs","Ecstasy","Other","
    Feedbacks:
    
        
            
                
                    5/5
                    FE for trusted vendor will update once arrives
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
"," China ","Worldwide except Australia, New Zealand, Russia, Finland, Germany or the Middle East. "
"2014-01-01__dvKTDJyAkX.html",2014-01-01,"CB2013","NEW YEARS SPECIAL1oz. GDP + 1 GRAM WAX",0.2868579,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    Dealt with cali on BMR!  Always trustworthy and always great prices for great stuff!  Cheers!
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    CaliBud came through yet again; definitely an A+ vendor
                    

                    1 days ago
                    anon  ~4/5, 3~5 deals
                
            
                
                    5/5
                    FE'd and received tracking in just hours! Awesome Vendor. Will update when product received.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE
                    

                    2 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    RE as requested. Will update..
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE for trusted seller! Calibud is the best hands down!
                    

                    4 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    FE will update
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE will update:)
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE  for trusted vendor.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__dvwUokFT7h.html",2014-01-01,"passman","3 Ways To Cashout CC To BTC",0.02001334,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    AAA Great info ,Great Seller
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__E0v4bFsmm5.html",2014-01-01,"passman","How TO Grow Marijuana (33 Ebook Collection)",0.00667111,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Books as described:) It is a lot of info
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Awesome, thank you! Look forward to doing business again soon!
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__e74qhtr50P.html",2014-01-01,"MachineElves","MACHINE ELVES 250mg Best Selling             ** MOST POTENT DMT **",0.06620827,"Drugs","Psychedelics","DMT","
    Feedbacks:
    
        
            
                
                    5/5
                    I just love the Machine Elves - been using them regularly since August and they have never let me down. World Class Service 5/5.
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," UK ","UK (Free!) & EU "
"2014-01-01__eittWF1P2R.html",2014-01-01,"donaldo","1/4oz - 7g Magic Mushroom Psilocybe Cubensis (powder)",0.04672897,"Drugs","Psychedelics","Mushrooms","
    Feedbacks:
    
        
            
                
                    5/5
                    Great quality and fast shipping from vendor!
                    

                    0 days ago
                    anon  ~2/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__fAr0bjDDx8.html",2014-01-01,"SusnaSmith","1 Gram MXE",0.03993716,"Drugs","Disassociatives","MXE","
    Feedbacks:
    
        
            
                
                    5/5
                    Super fast shipping.  Great stealth and  professionally packaged.  Weight is generous.  Product is high quality - the real deal
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    I will FE because I know this guy from 4 markets. He is 100%. Period.
                    

                    6 days ago
                    anon  ~4/5, 3~5 deals
                
            
                
                    5/5
                    Fantastic communication and lightening fast delivery, ordered Wednesday morning, arrived Friday. Good quality product.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__flfn7bBDtB.html",2014-01-01,"beige4you","1/2g (500mg)East Coast #4 RAW UNCUT",0.17477816,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    FE'd for the man right here! I'll update in a couple days when i've received the product
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
","none","USA"
"2014-01-01__ft3j587bRB.html",2014-01-01,"Hackyboy","1 X HIGHER BALANCE CARDS : US AMEX CENTURION",0.04667911,"Services","Money",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    A+. Fast delivery and good card thanks you
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__G9pnD24P4E.html",2014-01-01,"passman","Western Union Carding / E.x.p.l.o.i.t",0.02668445,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Excellent info and well worth the buy!
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    5/5
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__GMZ78M6R59.html",2014-01-01,"passman","ALIEXPRESS Carding Method",0.01334222,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Solid guide, fast delivery! A+
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__h4Kbwqwdga.html",2014-01-01,"SilkySm00th","20 Grams methylone (bk-MDMA) Crystals 99.8% Pure!",0.42723631,"Drugs","Ecstasy","Other","
    Feedbacks:
    
        
            
                
                    5/5
                    FE = will update when received
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__iSADuqiD4s.html",2014-01-01,"passman","Running A Successful + Profitable Gambling Ring",0.00133422,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    
                    

                    6 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
","none","none"
"2014-01-01__iXmyrx6puX.html",2014-01-01,"SaltnPepper","10x Yellow Warner Brothers 180-200MG MDMA",0.10013351,"Drugs","Ecstasy","Pills","
    Feedbacks:
    
        
            
                
                    5/5
                    FE, trusted vendor
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," Netherlands ","none"
"2014-01-01__JA3ZcBmCE4.html",2014-01-01,"NOCTURN4L","0.5 GRAMS |||| Extreme Uncut ROCKY MOUNTIAN BROWN ||||",0.14666666,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    FE'd Will report back when product arrives
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__Jgd5U2Tg1a.html",2014-01-01,"coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT",0.08020532,"Drugs","Cannabis","Edibles","
    Feedbacks:
    
        
            
                
                    4/5
                    Very fast, with great shipping, but disappointed with the potency. Still good regardless.
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","USA"
"2014-01-01__KaewMmsWpi.html",2014-01-01,"AfghanApothecary","USA/CANADA ONLY...1/2G TOP QUALITY #3 BROWN HEROIN",0.1325106,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    FE'd per vendor request
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","USA"
"2014-01-01__L3qxLCSJPA.html",2014-01-01,"OpenSource","OP 15 X 5",0.13333333,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Super fast, awesome stealth, creative packaging, all pills intact.  Bravo!  You can order with confidence from this vendor.  5/5
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__m0Xfh0qk29.html",2014-01-01,"SusnaSmith","5 Grams MXE",0.17306105,"Drugs","Disassociatives","MXE","
    Feedbacks:
    
        
            
                
                    5/5
                    Great vendor! Clean packaging. Descrete!
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__m1L6kZWRvB.html",2014-01-01,"Organix2","Clonazepam 10 x 2mg (Rivotril) by Hoffman la Roche",0.03332577,"Drugs","Benzos",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Ordered Thursday, received Monday. Stealth could be much improved. Product good.
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Showed up a day or two after being marked shipped. I ate a piece of one and took a nice nap so they seem to work just fine. The
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__M2nEt6Vq7G.html",2014-01-01,"goodfornothing","MDA (2g)",0.05874499,"Drugs","Ecstasy","MDA","
    Feedbacks:
    
        
            
                
                    5/5
                    FE for trusted vendor!
                    

                    4 days ago
                    anon [0 deals]
                
            
        
    
"," Canada ","Everywhere except Australia "
"2014-01-01__maJm4j4wqp.html",2014-01-01,"passman","How To Buy Bitcoins With Visa,WU,Ukash,Skrill,Paypal,Game Currency,etc.",0.01334222,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Great info, fast delivery! Even sent additional info not in the guide!
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__MhV9dzT7gb.html",2014-01-01,"RedBull","10 Stck. Alprazolam 1.0mg TAFIL / XANAX org. Pfizer",0.0173294,"Drugs","Benzos",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Good vendor, fast delivery
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," Germany ","none"
"2014-01-01__MkckCVPkU1.html",2014-01-01,"DeemzBeemz","500mg N,N DMT - Highest Quality on the Darknet!",0.08678237,"Drugs","Psychedelics","DMT","
    Feedbacks:
    
        
            
                
                    5/5
                    Quick shipping, excellent quality, great seller!!
                    

                    2 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","none"
"2014-01-01__MLhY2tpiVl.html",2014-01-01,"MrCronk","1.1g HIGHGRADE DUTCH BLUE KUSH w NDD;)",0.02934115,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," Undeclared ","Worldwide"
"2014-01-01__MMzn6EkvE9.html",2014-01-01,"Warbeast","8oz standard-grade outdoor Marijuana",1.00178986,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    just as described
                    

                    6 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","USA"
"2014-01-01__mRXY7tETGZ.html",2014-01-01,"passman","How To Setup Zeus Botnet Step By Step Tutorial With Pictures",0.02668445,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    passman is divine knowledge
                    

                    0 days ago
                    anon [0 deals]
                
            
        
    
","none","none"
"2014-01-01__Mx5DttnLsW.html",2014-01-01,"passman","CC Range List Amex,MC,Visa",0.00133422,"Information","eBooks",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Awesome, thank you! Look forward to doing business again soon!
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__MZvgKSYgu5.html",2014-01-01,"AfghanApothecary","1/2 GRAM VERY NICE BROWN HEROIN #3 FOR UK",0.08666666,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Good no.3, especially by UK standards, much better than you will find from street dealers.  Vendor is very friendly and takes c
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
","none","none"
"2014-01-01__N8YCrsMz3F.html",2014-01-01,"DeemzBeemz","1g N,N DMT - Highest Quality on the Darknet!",0.16021361,"Drugs","Psychedelics","DMT","
    Feedbacks:
    
        
            
                
                    5/5
                    Got here pretty quickly even with the holiday season. Weighed in just a bit over 1g that I purchased.

Good service, good pro
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","none"
"2014-01-01__NnpvE6qR9a.html",2014-01-01,"passman","10 Second Sexual Attraction",0.00400266,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    fast trade good stuff
                    

                    3 days ago
                    anon [0 deals]
                
            
        
    
","none","none"
"2014-01-01__nsanXW723p.html",2014-01-01,"Warbeast","akdrew907 custom",0.8817,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    fe will update
                    

                    4 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","USA"
"2014-01-01__oGBmRJFcfK.html",2014-01-01,"passman","Make Fake ID's Ultimate How To Guide",0.02668445,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    One of the best Vendors period...
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__oS4UDBlX0a.html",2014-01-01,"Organix2","Ambien 10 x 10mg (Zolpidem) hypnotic",0.02933333,"Drugs","Prescription",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Arrived quickly and looks right. Will update if they are anything but what they should be.
                    

                    2 days ago
                    anon  ~4/5, 3~5 deals
                
            
        
    
"," USA ","USA"
"2014-01-01__pa8P1JBvRV.html",2014-01-01,"CityLights","0.5 g Fishscale Cocaine",0.08667822,"Drugs","Stimulants","Cocaine","
    Feedbacks:
    
        
            
                
                    5/5
                    Fast shipping.  Decent stealth.  Excellent quality.  Thanks!
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","none"
"2014-01-01__PhZ98A2LgE.html",2014-01-01,"CB2013","1/2 oz. Purple Blackberry",0.15343562,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    
                    

                    4 days ago
                    anon  ~2/5, 1~2 deals
                
            
                
                    3/5
                    FE will update when it arrives
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE...TRUSTED VENDOR!!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","none"
"2014-01-01__Pza8ncw6fX.html",2014-01-01,"passman","NEW!! CC to BTC December 2013",0.01334222,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Fast delivery legit.
                    

                    2 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    useful informations and quick delivery ;)
                    

                    0 days ago
                    anon  ~5/5, 3~5 deals
                
            
        
    
","none","none"
"2014-01-01__q8GRU0w4RU.html",2014-01-01,"vendor1","Test: BMR leaked index.php",6.674e-05,"Data","Accounts",NA,"
    Feedbacks:
    
        
            
                
                    0/5
                    No article + no communication
                    

                    4 days ago
                    anon [0 deals]
                
            
        
    
"," Australia ","none"
"2014-01-01__r6f3lbgfyn.html",2014-01-01,"CB2013","NYS 1oz. SnappleKush + 1GRAM WAX(AKA BHO)",0.29352901,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    FE'd for cali
                    

                    2 days ago
                    anon  ~5/5, 3~5 deals
                
            
                
                    5/5
                    
                    

                    4 days ago
                    anon  ~4/5, 3~5 deals
                
            
                
                    5/5
                    FE for trusted seller CB2014!
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE.. TRUSTED VENDOR!
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    F/E, will update.
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," USA ","none"
"2014-01-01__R6yXbFuhYq.html",2014-01-01,"CowBe11s","1 Amex Black/Centurion Card",0.03320053,"Services","Money",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Awesome valid card, thanks man.
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Same excellent service as on TM. Fast delivery, good product and amazing support. 10/10 Vendor highly recommended.
                    

                    6 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__RNFd2UV24K.html",2014-01-01,"passman","7 Methods To Cashout Credit Cards Into BTC",0.04669779,"Information","Guides",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Some a bit dated but overall worth the spend. Definitely a buy for anyone just starting out!
                    

                    5 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__RYZvGYaXlT.html",2014-01-01,"MrCronk","14g HIGHGRADE DUTCH SUPER AMNESIA HAZE w NDD;)",0.27607361,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    Top notch service and supplies as always! :-)
                    

                    1 days ago
                    anon [0 deals]
                
            
        
    
"," Undeclared ","Worldwide"
"2014-01-01__rzDa6bmXBN.html",2014-01-01,"UKrime","1 x Hacked Verified PayPal Account",0.01328021,"Services","Money",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Great Vendor will do more business...
                    

                    3 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","none","none"
"2014-01-01__Sg3cUXJXLr.html",2014-01-01,"HollandDutch","2x XTC & 0.5g Molly/MDMA crystal, dutch quality, Sample package",0.00668449,"Drugs","Ecstasy","Pills","
    Feedbacks:
    
        
            
                
                    5/5
                    fast delivery, trusted seller!
                    

                    0 days ago
                    anon [0 deals]
                
            
                
                    5/5
                    FE, update on arrival
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    FE. Risky but worth it. We'll see. I'll update feedback. Curious about those AP's...
                    

                    3 days ago
                    anon [0 deals]
                
            
        
    
"," Netherlands ","Worldwide"
"2014-01-01__Shp56kJ3BT.html",2014-01-01,"Massive","POLISH ANON SIM CARD COMPETENT PRICE A+",0.02656042,"Services","Money",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Great vendor, look forward to future business.
                    

                    4 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
"," World ","none"
"2014-01-01__SjTweEYssF.html",2014-01-01,"NarcoticsAnonymous","1 Gram High Quality Crystal Meth",0.11666977,"Drugs","Stimulants","Meth","
    Feedbacks:
    
        
            
                
                    5/5
                    Finalize bug seems to be fixed, which is great because the vendor really earned their money- excellent communication (new marke
                    

                    4 days ago
                    anon [0 deals]
                
            
        
    
"," USA ","USA"
