"list","date","vendor","product","price","cat","subcat","feedback","from","to"
"2014-03-01__A0bC8emoRv.html","2014-03-01","PureDrugs","5G Mdma Crystal",0.23642732,"Drugs","Ecstasy","
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-03-01__A0YYYeL2FG.html","2014-03-01","salamalejkum","3C-P 100 mg HCl",0.03046594,"Drugs","Psychedelics","
    Feedbacks:
    No feedbacks found.
","
     EU
    
    ",NA
"2014-03-01__A0zJ7DRdj8.html","2014-03-01","coloradocannabis","1 oz.Bubba Kush, Indoor Hydro, Free Shipping",0.49431274,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      USA
    
    ",NA
"2014-03-01__A14XRTTdc2.html","2014-03-01","cyberzen","How I Make $25 in 10 Minutes A Day",0.03552397,"Services","Hacking","
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-03-01__a1BkWEipyk.html","2014-03-01","passman","Secret of Methamphetamine Manufacture 8th Edition",0.00354672,"Information","Guides","
    Feedbacks:
    No feedbacks found.
","
    
    
    ",NA
"2014-03-01__a1fSsmWag6.html","2014-03-01","PandaTime","50g MXE (methoxetamine)",1.07642626,"Drugs","Dissociatives","
    Feedbacks:
    No feedbacks found.
","
      China
     ","Worldwide
    "
"2014-03-01__a1wNNYFoK9.html","2014-03-01","dgslabz","Test Enanthate 300mg x 10ml",0.10142735,"Drugs","Steroids","
    Feedbacks:
    
        
            
                
                    5/5
                    received in 3 days product is as described
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fast delivery
Super stealthy
Clean and sanitized seal.
Excellent for the price. Definite return business
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__A1zLmhj8uw.html","2014-03-01","FelixUK","FelixUK (1g) - HQ Dutch Crystal MDMA UK Domestic",0.08756567,"Drugs","Ecstasy","
    Feedbacks:
    No feedbacks found.
","
      UK
     ","UK
    "
"2014-03-01__a27UFy7tcb.html","2014-03-01","FattusCatteratus","3.5g #4 Afghan Heroin! GREAT QUALITY!",1.11912904,"Drugs","Opioids","
    Feedbacks:
    
        
            
                
                    5/5
                    the Fattcatt does it rite!  What more can I say.
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    This is my all time favorite vendor; product always gets to me in 3 days, and product is always on point or a bit over. Stealth
                    

                    0 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    4/5
                    FAST shipping and legit product. Although it's not the best stuff I ever had, the vender and shipping is A+. I will order again.
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    wow. trust this vendor. the best stealth, communication, shipping, and product. fat cat product > nocturnal and all others. he'
                    

                    1 days ago
                    anon  ~5/5, 1~2 deals
                
            
                
                    5/5
                    Fantastic vendor.  Will update
                    

                    2 days ago
                    anon  ~5/5, 1~2 deals
                
            
        
    
","
      USA
     ","USA
    "
"2014-03-01__A2eXDaKaU2.html","2014-03-01","BudBoss","14g Master Kush AAA+",0.23214285,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      Canada
     ","Worldwide
    "
"2014-03-01__A2y8q4nKWY.html","2014-03-01","DrEarnhardt","10gr Blue Berry (outdoor)",0.14603739,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      Netherlands
     ","Worldwide
    "
"2014-03-01__A2yuGwD75G.html","2014-03-01","Bryol","900ug HPBCD Complexed 25c NBOMe Blotter x 4500 (5 Sheets)",5.2471403,"Drugs","Psychedelics","
    Feedbacks:
    No feedbacks found.
","
      Australia
    
    ",NA
"2014-03-01__A34tG7oG83.html","2014-03-01","blackhand","Marijuana Chemistry: Genetics, Processing, Potency",0.00262853,"Information","eBooks","
    Feedbacks:
    No feedbacks found.
","
     Internet
    
    ",NA
"2014-03-01__a37plcuKol.html","2014-03-01","budbrother","10 regular seeds - Skunk Kush - pain relief",0.05326326,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      Australia
    
    ",NA
"2014-03-01__A3CnsApDlU.html","2014-03-01","tomsmith0626","1/2 lb of Medical Grade Cannibus",3.92927308,"Drugs","Cannabis","
    Feedbacks:
    No feedbacks found.
","
      USA
     ","USA
    "
"2014-03-01__a3iAt0Ncmu.html","2014-03-01","pdxblack",".25 g Shard ~Crystal Meth -free shipping",0.07871123,"Drugs","Stimulants","
    Feedbacks:
    
        
            
                
                    5/5
                    Fe international. I am nirvana. Update here and on agora and pandora forums. Good comms.
                    

                    2 days ago
                    anon [0 deals]
                
            
        
    
","
      USA
    
    ",NA
