"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to"
"2014-03-06__A0YYYeL2FG.html","2014-03-06","salamalejkum","3C-P 100 mg HCl",0.0256024,"Drugs","Psychedelics","Mescaline","
    Feedbacks:
    No feedbacks found.
"," EU ",NA
"2014-03-06__a1fSsmWag6.html","2014-03-06","PandaTime","50g MXE (methoxetamine)",0.91505261,"Drugs","Dissociatives","MXE","
    Feedbacks:
    No feedbacks found.
"," China ","Worldwide "
"2014-03-06__A1K0Ng2cSw.html","2014-03-06","fake","ITALIAN SIM CARD",0.05874378,"Counterfeits","Electronics",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    good
                    

                    2 days ago
                    
                        anon [0 deals]

                        
                    
                
            
        
    
"," EU ",NA
"2014-03-06__A1R7CvYzN8.html","2014-03-06","fake","Running a Profitable Gambling Ring",0.01507613,"Information","Guides",NA,"
    Feedbacks:
    No feedbacks found.
",NA,NA
"2014-03-06__a1wNNYFoK9.html","2014-03-06","dgslabz","Test Enanthate 300mg x 10ml",0.08225037,"Drugs","Steroids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Super quick shipping. Will order from this vendor again.
                    

                    1 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    received in 3 days product is as described
                    

                    4 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    Fast delivery
Super stealthy
Clean and sanitized seal.
Excellent for the price. Definite return business
                    

                    5 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
        
    
"," USA ","USA "
"2014-03-06__a23Rhl9qFj.html","2014-03-06","keno13","Registered Pre-Paid Burn Phone",0.08857528,"Electronics",NA,NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    Recommended vendor. Easy to deal with and fast postage.
                    

                    0 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
        
    
"," Australia ",NA
"2014-03-06__a27UFy7tcb.html","2014-03-06","FattusCatteratus","3.5g #4 Afghan Heroin! GREAT QUALITY!",0.94984802,"Drugs","Opioids",NA,"
    Feedbacks:
    
        
            
                
                    5/5
                    I sure hope you shipped it today, I was good for the money our previous 2 times, it wasn't going to be any different this time.
                    

                    0 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
                
                    5/5
                    the Fattcatt does it rite!  What more can I say.
                    

                    4 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
                
                    5/5
                    This is my all time favorite vendor; product always gets to me in 3 days, and product is always on point or a bit over. Stealth
                    

                    4 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    4/5
                    FAST shipping and legit product. Although it's not the best stuff I ever had, the vender and shipping is A+. I will order again.
                    

                    5 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
                
                    5/5
                    wow. trust this vendor. the best stealth, communication, shipping, and product. fat cat product > nocturnal and all others. he'
                    

                    5 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    Fantastic vendor.  Will update
                    

                    6 days ago
                    
                        anon  ~5/5, 3~5 deals

                        
                    
                
            
        
    
"," USA ","USA "
"2014-03-06__A2y8q4nKWY.html","2014-03-06","DrEarnhardt","10gr Blue Berry (outdoor)",0.12202199,"Drugs","Cannabis","Weed","
    Feedbacks:
    
        
            
                
                    5/5
                    FE
                    

                    0 days ago
                    
                        anon [0 deals]

                        
                    
                
            
        
    
"," Netherlands ","Worldwide "
"2014-03-06__A3CnsApDlU.html","2014-03-06","tomsmith0626","1/2 lb of AAA Indoor Medical Grade Cannibus",2.74484784,"Drugs","Cannabis","Weed","
    Feedbacks:
    No feedbacks found.
"," USA ","USA "
"2014-03-06__a3iAt0Ncmu.html","2014-03-06","pdxblack",".25 g Shard ~Crystal Meth -free shipping",0.06766917,"Drugs","Stimulants","Meth","
    Feedbacks:
    
        
            
                
                    5/5
                    quick delivery. fine stealth. seems to me to be nice product. thanks. would order again/recomment.
                    

                    0 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    Came in a timely manner, was what was advertized. Even pretty decent shards for such a tiny order.
                    

                    1 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    FE, will update upon arrival.
                    

                    2 days ago
                    
                        anon  ~5/5, 1~2 deals

                        
                    
                
            
                
                    5/5
                    Fe international. I am nirvana. Update here and on agora and pandora forums. Good comms.
                    

                    5 days ago
                    
                        anon [0 deals]

                        
                    
                
            
        
    
"," USA ",NA
