"from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"australia","australia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","14",NA
"internet","everywhere",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","08","27",1281.9
"netherlands","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","27",NA
"china","worldwide except australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","01","26",NA
"belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","18",1196.7
"usa","usa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","22",1216.8
"no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","02",NA
"usa","usa",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","01","16",1240
"no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","23",NA
"canada","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","17",1183
"netherlands","we do not ship to usa / canada / new zealand / australia /scandinavia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","08","15",1304.5
"no info","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","06","16",1274.9
"usa","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","03",1208.5
"usa","usa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","05","16",1293.3
"internet","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","07","26",NA
"canada","worldwide",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","29",1224.3
"canada","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","18",1196.7
"usa","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","10","14",1233.6
