"list","date","vendor","product","price","usd","rate","cat","subcat","subsubcat","feedback","from","to","great","good","ok","poor","horrible","worst","none","year","month","day","gold.oz"
"2014-12-14__Wkt94VLfnz.html","2014-12-14","AussieDomesticDrugs","14 GRAMS ♛IMPORTED DUTCH MDMA♛ - TOP QUALITY",6.42154912,2254.8627579968,351.14,"Drugs","Ecstasy","MDMA"," Feedbacks: 5/5 great vendor, havnt tried this stuff yet its different to the last i got but it smells fuckin good no doubt its top stuff 9 days ago anon 10~15 deals ","australia","australia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","14",NA
"2014-08-27__rVaPSZEEtu.html","2014-08-27","captainkirk","The Do-it-Yourself Submachine Gun",0.00195729,0.9990595347,510.43,"Information","Guides",NA," Feedbacks: 5/5 Good book 22 days ago anon ~5/5, 6~10 deals ","internet","everywhere",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","08","27",1281.9
"2014-12-27__Pto4r7s6UU.html","2014-12-27","dutchquality_1256","Best quality heroin 3 gr, #3",0.73044883,230.2155577511,315.17,"Drugs","Opioids","Heroin"," Feedbacks: 5/5 Some very nice H. Disolves nicely with a little citric acid. Amazing euphoria and feelings of pure opiate bliss. 9 days ago anon 10~15 deals 5/5 EXCELLENT COMMUNICATION AND PROMPT SERVICE FROM DUTCHQUALITY_1256. PRODUCT IS EXACTLY AS ADVERTISED... QUALITY IS GOOD I WILL O 53 days ago anon ~5/5, 40~55 deals 5/5 The best stuff A+++ 72 days ago anon ~5/5, 10~15 deals 5/5 Very friendly and professional vendor! Quality not tested, but a 4.99 rating + comments are enough to know! 73 days ago anon ~5/5, 15~25 deals 5/5 Trustable vendor with fast,stealthy shipping and overwhelming quality of product!!! 6 / 5 Points! :) 83 days ago anon 5.00/5, 150~200 deals 5/5 Very nice customer and nice gear! 93 days ago anon ~5/5, 6~10 deals 5/5 Great stuff, excellent communication, A++ vender 116 days ago anon ~5/5, 6~10 deals 5/5 Great product,seller of trust i will recommend 129 days ago anon 4.50/5, 55~70 deals ","netherlands","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","12","27",NA
"2014-01-26__h9ylZ2zhbk.html","2014-01-26","sonicboom","500g Big Rock Methylone (bk-MDMA / M1)",1.96852785,1732.5997871775,880.15,"Drugs","Ecstasy","Other"," Feedbacks: No feedbacks found. ","china","worldwide except australia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","01","26",NA
"2014-11-18__VWW9mb1w48.html","2014-11-18","profesorhouse","THE MINE -  An Easy Guide to Build Your Own WordPress Site",0.06910986,25.7351296668,372.38,"Information","eBooks",NA," Feedbacks: No feedbacks found. ","belgium","no info",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","11","18",1196.7
"2014-09-22__ShSaLNJNMR.html","2014-09-22","TheBusinessMan","94mg THC Sucker - Lemon-Aide (Full Escrow)",0.01454615,5.8023137735,398.89,"Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Got a little confused on how the combined shipping worked at first but vendor helped me figure it out. Had to FE and will updat 0 days ago anon ~5/5, 3~5 deals 5/5 FE, will update on arrival. 0 days ago anon ~5/5, 25~40 deals 5/5 Great price for what you get! 7 days ago anon ~5/5, 25~40 deals 5/5 Very fast shipping! Looks Great, can't wait to try it. 15 days ago anon ~5/5, 6~10 deals ","usa","usa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","09","22",1216.8
"2014-11-02__qNXAdwgKlp.html","2014-11-02","livinglarge","custom hotel booking 2",4.72613073,1530.0375625302,323.74,"Drugs","Stimulants","Speed"," Feedbacks: 5/5 HE IS THE REALEST VENDOR ORDER WITH HIM. 216 days ago anon ~5/5, 25~40 deals ","no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","02",NA
"2014-01-16__atV304wnT9.html","2014-01-16","PureFireMeds","28g of OG Kush Indoor (1 Oz) AAA+ High Grade Weed",0.32718151,277.2437961287,847.37,"Drugs","Cannabis","Weed"," Feedbacks: No feedbacks found. ","usa","usa",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2014","01","16",1240
"2014-11-23__NzBdSAt5W9.html","2014-11-23","Gotmilk","100 tabs Generic Klonopin/Rivotril 2mg $90,00 Re-Pam",0.24793388,90.9347091676,366.77,"Drugs","Prescription",NA," Feedbacks: 5/5 FE - Will Update 73 days ago anon ~5/5, 15~25 deals ","no info","no info",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","23",NA
"2014-11-17__eMd577B08G.html","2014-11-17","Fappy","Modafinil 5g",0.11120306,42.9088127316,385.86,"Drugs","Prescription",NA," Feedbacks: 5/5 FE, will update !! 0 days ago anon 3~5 deals 5/5 2 days ago anon ~5/5, 15~25 deals 5/5 FE for solid vendor! A+ 3 days ago anon 1~2 deals 5/5 fe 7 days ago anon 5.00/5, 70~100 deals 5/5 Wooohoo, finally a good source of Modafinil in Canada to spark up my productive life! 8 days ago anon ~5/5, 3~5 deals 5/5 36 hour delivery domestic. Greatest ever. 11 days ago anon ~5/5, 1~2 deals 5/5 Perfect: thanks for very fine product and a flawless exchange! 11 days ago anon 15~25 deals ","canada","worldwide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2014","11","17",1183
