"date","vendor","product","description","price","from","to"
"2014-01-01","3dames","Lorazepam (Ativan) 1 mg x 50 (free shipping)","Lorazepam (Ativan) 1 mg x 50 (free shipping) Top-quality branded generic equivalent of Ativan. 100% correct dosage guaranteed. Like all my other items  this is a branded and white market pharmaceutical product and it is NOT ""Ativan"" made in ...",0.05989857,"undeclared","Worldwide"
"2014-01-01","3dames","Tramadol 50 mg x 100 (USA ONLY SPECIAL, FREE SHIP)","Tramadol 50 mg x 100 (USA ONLY SPECIAL  FREE SHIP) High quality generic of Ultram. Like all my other items  this is a branded and white market pharmaceutical product. It is NOT made in India/Pakistan and it is 100% correct dosage guaranteed. Be ve ...",0.0638918,"undeclared","USA"
"2014-01-01","3dames","Fluoxetine (Prozac) 20 mg x 30 (free shipping)","Fluoxetine (Prozac) 20 mg x 30 (free shipping) Branded generic of fluoxetine (Prozac)  the original and still one of the most-widely prescribed anti-depressant SSRIs. This is a top-quality white market product and it was the most popular fluoxeti ...",0.04126346,"undeclared","Worldwide"
"2014-01-01","3dames","Tramadol (Ultram) 50 mg x 100 (free shipping)","Tramadol (Ultram) 50 mg x 100 (free shipping) High quality generic of Ultram. Like all my other items  this is a branded and white market pharmaceutical product. It is NOT made in India/Pakistan and it is 100% correct dosage guaranteed. Be ve ...",0.07853368,"undeclared","Worldwide"
"2014-01-01","3dames","Beta-blocker Propranolol (Inderal) 10 mg x 50 (free shipping)","Beta-blocker Propranolol (Inderal) 10 mg x 50 (free shipping) Top quality generic of Inderal  the classic and still most widely used beta-blocker. It is usually prescribed for heart conditions but there are other well documented uses- - Performance anxiety a ...",0.0638918,"undeclared","Worldwide"
"2014-01-01","3dames","100 x 400 mg Piracetam (Nootropil) (free shipping)","100 x 400 mg Piracetam (Nootropil) (free shipping) Top-quality generic of Nootropil. Piracetam is the original nootropic and has been shown to enhance cognitive function significantly. There are also many other uses for piracetam such as potentiating ...",0.05457425,"undeclared","Worldwide"
"2014-01-01","3dames","Alprazolam (Xanax) 1 mg x 50 (free shipping)","Alprazolam (Xanax) 1 mg x 50 (free shipping) Top-quality Scandinavian-manufactured generic alprazolam equivalent of Xanax. 100% correct dosage guaranteed. Alprazolam (Xanax) is a fast acting and short duration benzo with a shorter half-life ...",0.08652015,"undeclared","Worldwide"
"2014-01-01","3dames","Beta-blocker Propranolol (Inderal) 10 mg x 25 (free shipping)","Beta-blocker Propranolol (Inderal) 10 mg x 25 (free shipping) Top quality generic of Inderal  the classic and still most widely used beta-blocker. It is usually prescribed for heart conditions but there are other well documented uses- - Performance anxiety a ...",0.04126346,"undeclared","Worldwide"
"2014-01-01","3dames","Fluoxetine (Prozac) 20 mg x 60 (free shipping)","Fluoxetine (Prozac) 20 mg x 60 (free shipping) Branded generic of fluoxetine (Prozac)  the original and still one of the most-widely prescribed anti-depressant SSRIs. This is a top-quality white market product and it was the most popular fluoxeti ...",0.07187828,"undeclared","Worldwide"
"2014-01-01","3dames","Beta-blocker Propranolol (Inderal) 40 mg x 20 (free shipping)","Beta-blocker Propranolol (Inderal) 40 mg x 20 (free shipping) (This is the high dosage listing recommended only for experienced propranolol users seeking high dosage or who want to save money on a 20 mg or less dose by breaking the tablet at the score. Otherwis ...",0.0638918,"undeclared","Worldwide"
